experiment,model,subject,target_label,audio_label,visual_label,a_audio,b_visual,R2_full,R2_static,R2_audio,R2_visual
Exp2,attenuation,Vp1,VAO-MVA,AO-MA,VO-MV,0.68151,0.44081,0.80529,0.45510,0.75924,0.44927
Exp2,attenuation,Vp2,VAO-MVA,AO-MA,VO-MV,0.71534,-1.98324,-0.23572,-3.46682,-0.58513,-0.39956
Exp2,attenuation,Vp3,VAO-MVA,AO-MA,VO-MV,0.71100,0.25627,0.02807,-0.68936,-0.03490,-0.30859
Exp2,attenuation,Vp4,VAO-MVA,AO-MA,VO-MV,0.82598,0.56835,0.69607,0.51728,0.52262,0.32210
Exp2,attenuation,Vp6,VAO-MVA,AO-MA,VO-MV,0.23048,0.00155,-0.01257,-4.36797,-0.01257,-0.07397
Exp2,attenuation,Vp7,VAO-MVA,AO-MA,VO-MV,0.54679,0.60255,0.63346,-0.28720,0.29044,-0.57854
Exp2,attenuation,Vp8,VAO-MVA,AO-MA,VO-MV,0.64825,0.62895,0.72525,0.44184,0.63630,0.53305
Exp2,attenuation,Vp9,VAO-MVA,AO-MA,VO-MV,0.66827,0.17013,0.29937,-1.00204,0.26124,0.14441
Exp2,attenuation,Vp10,VAO-MVA,AO-MA,VO-MV,0.19262,0.00037,0.26267,-7.37678,0.26267,0.04734
Exp2,attenuation,Vp12,VAO-MVA,AO-MA,VO-MV,0.57886,-0.27609,-0.07320,-0.66534,-0.09803,-0.19057
Exp2,attenuation,Vp13,VAO-MVA,AO-MA,VO-MV,0.15783,0.64942,0.57448,-0.35227,0.09962,0.55587
Exp2,attenuation,Vp14,VAO-MVA,AO-MA,VO-MV,0.70521,0.52459,0.23235,0.06809,0.12684,-0.23579
Exp2,attenuation,Vp17,VAO-MVA,AO-MA,VO-MV,0.28338,0.66190,0.62305,-2.10863,0.06895,0.45624
Exp2,attenuation,Vp20,VAO-MVA,AO-MA,VO-MV,0.45782,0.15703,0.28700,-1.79782,0.23623,0.09890
Exp2,attenuation,Vp21,VAO-MVA,AO-MA,VO-MV,0.56753,0.67800,0.37077,0.15386,0.22555,0.10165
Exp2,attenuation,Vp23,VAO-MVA,AO-MA,VO-MV,0.65071,0.67485,0.19622,-0.28579,-0.59751,-0.12541
Exp2,attenuation,Vp24,VAO-MVA,AO-MA,VO-MV,0.57590,0.31441,0.22431,-3.52254,0.06830,0.13272
Exp2,attenuation,Vp25,VAO-MVA,AO-MA,VO-MV,1.14575,-0.21139,0.36888,-0.04489,0.35973,-0.44475
Exp2,attenuation,Vp26,VAO-MVA,AO-MA,VO-MV,0.20899,1.22066,0.12171,-0.39049,-1.24992,0.09611
Exp2,attenuation,Vp27,VAO-MVA,AO-MA,VO-MV,0.28779,0.18210,0.17402,-1.44991,0.16542,0.11352
Exp2,attenuation,Vp28,VAO-MVA,AO-MA,VO-MV,1.12604,0.29482,0.80901,0.19406,0.71785,-0.01027
Exp2,attenuation,Vp29,VAO-MVA,AO-MA,VO-MV,-0.30015,0.34524,0.07709,-12.67862,-0.07450,-0.16462
Exp2,attenuation,Vp30,VAO-MVA,AO-MA,VO-MV,0.37638,0.81855,0.53082,0.27876,0.45740,0.51431
Exp2,attenuation,Vp31,VAO-MVA,AO-MA,VO-MV,0.35856,-0.14589,0.06562,-6.33267,0.02674,-0.08755
Exp2,attenuation,Vp32,VAO-MVA,AO-MA,VO-MV,0.68468,-0.36634,-0.00482,-4.59014,-0.12520,-0.23467
Exp2,attenuation,Vp33,VAO-MVA,AO-MA,VO-MV,0.11527,0.18728,0.06374,-2.42962,0.04981,0.05359
Exp2,attenuation,Vp34,VAO-MVA,AO-MA,VO-MV,0.19438,0.78344,0.76367,-1.32450,0.58751,0.72298
Exp2,attenuation,Vp35,VAO-MVA,AO-MA,VO-MV,0.54275,1.21457,0.24976,0.18016,0.09397,0.15180
Exp2,attenuation,Vp36,VAO-MVA,AO-MA,VO-MV,0.53654,0.06961,0.75664,-1.38316,0.75346,-0.56587
Exp2,attenuation,Vp38,VAO-MVA,AO-MA,VO-MV,0.61116,-0.06141,0.37626,-1.72913,0.36930,-0.14101
