experiment,model,time_ms,a_audio,b_visual,R2
Exp2,attenuation,-99.61,0.47643,-0.38127,0.21608
Exp2,attenuation,-97.66,0.46906,-0.41240,0.22722
Exp2,attenuation,-95.70,0.45280,-0.41356,0.23134
Exp2,attenuation,-93.75,0.42391,-0.38467,0.22079
Exp2,attenuation,-91.80,0.38170,-0.33143,0.19317
Exp2,attenuation,-89.84,0.32724,-0.26093,0.15120
Exp2,attenuation,-87.89,0.26461,-0.18211,0.10317
Exp2,attenuation,-85.94,0.20144,-0.10478,0.06046
Exp2,attenuation,-83.98,0.14563,-0.03542,0.03215
Exp2,attenuation,-82.03,0.10019,0.02563,0.02222
Exp2,attenuation,-80.08,0.06103,0.08377,0.03266
Exp2,attenuation,-78.12,0.02065,0.14536,0.06776
Exp2,attenuation,-76.17,-0.02665,0.21234,0.13012
Exp2,attenuation,-74.22,-0.08120,0.28050,0.20947
Exp2,attenuation,-72.27,-0.13734,0.34149,0.28015
Exp2,attenuation,-70.31,-0.18438,0.38463,0.31474
Exp2,attenuation,-68.36,-0.21085,0.40167,0.30224
Exp2,attenuation,-66.41,-0.21194,0.39315,0.25355
Exp2,attenuation,-64.45,-0.18868,0.36676,0.18969
Exp2,attenuation,-62.50,-0.14184,0.32939,0.12816
Exp2,attenuation,-60.55,-0.07020,0.28114,0.07931
Exp2,attenuation,-58.59,0.02564,0.21584,0.04897
Exp2,attenuation,-56.64,0.13541,0.12927,0.03784
Exp2,attenuation,-54.69,0.23602,0.02923,0.03834
Exp2,attenuation,-52.73,0.30144,-0.06630,0.03927
Exp2,attenuation,-50.78,0.31774,-0.14232,0.03547
Exp2,attenuation,-48.83,0.28747,-0.19486,0.02900
Exp2,attenuation,-46.88,0.22593,-0.22746,0.02380
Exp2,attenuation,-44.92,0.15418,-0.24402,0.02164
Exp2,attenuation,-42.97,0.08914,-0.24467,0.02131
Exp2,attenuation,-41.02,0.03923,-0.22882,0.02055
Exp2,attenuation,-39.06,0.00855,-0.20050,0.01810
Exp2,attenuation,-37.11,-0.00133,-0.16741,0.01395
Exp2,attenuation,-35.16,0.00853,-0.13666,0.00919
Exp2,attenuation,-33.20,0.03332,-0.11154,0.00609
Exp2,attenuation,-31.25,0.06537,-0.08956,0.00723
Exp2,attenuation,-29.30,0.09533,-0.06306,0.01326
Exp2,attenuation,-27.34,0.11375,-0.02342,0.02286
Exp2,attenuation,-25.39,0.11418,0.03300,0.03711
Exp2,attenuation,-23.44,0.09639,0.10184,0.06065
Exp2,attenuation,-21.48,0.06453,0.17415,0.09283
Exp2,attenuation,-19.53,0.02354,0.24172,0.12619
Exp2,attenuation,-17.58,-0.02196,0.29978,0.15465
Exp2,attenuation,-15.62,-0.06583,0.34667,0.17604
Exp2,attenuation,-13.67,-0.09962,0.38168,0.18910
Exp2,attenuation,-11.72,-0.11464,0.40382,0.19276
Exp2,attenuation,-9.77,-0.10810,0.41346,0.18783
Exp2,attenuation,-7.81,-0.08591,0.41316,0.17738
Exp2,attenuation,-5.86,-0.05834,0.40613,0.16507
Exp2,attenuation,-3.91,-0.03448,0.39578,0.15400
Exp2,attenuation,-1.95,-0.01867,0.38531,0.14622
Exp2,attenuation,0.00,-0.01040,0.37692,0.14222
Exp2,attenuation,1.95,-0.00420,0.36983,0.14065
Exp2,attenuation,3.91,0.00961,0.35892,0.13883
Exp2,attenuation,5.86,0.04279,0.33552,0.13405
Exp2,attenuation,7.81,0.10342,0.29221,0.12601
Exp2,attenuation,9.77,0.18838,0.23025,0.11832
Exp2,attenuation,11.72,0.28178,0.16256,0.11539
Exp2,attenuation,13.67,0.36511,0.10558,0.11736
Exp2,attenuation,15.62,0.42857,0.06720,0.12045
Exp2,attenuation,17.58,0.47307,0.04508,0.12253
Exp2,attenuation,19.53,0.50509,0.03240,0.12508
Exp2,attenuation,21.48,0.53280,0.02182,0.13120
Exp2,attenuation,23.44,0.56394,0.00717,0.14346
Exp2,attenuation,25.39,0.60393,-0.01465,0.16342
Exp2,attenuation,27.34,0.65377,-0.04257,0.19121
Exp2,attenuation,29.30,0.70794,-0.07073,0.22457
Exp2,attenuation,31.25,0.75510,-0.08950,0.25859
Exp2,attenuation,33.20,0.78310,-0.08929,0.28768
Exp2,attenuation,35.16,0.78624,-0.06676,0.30899
Exp2,attenuation,37.11,0.76704,-0.02688,0.32297
Exp2,attenuation,39.06,0.73295,0.02080,0.33139
Exp2,attenuation,41.02,0.69185,0.06777,0.33517
Exp2,attenuation,42.97,0.64888,0.10921,0.33372
Exp2,attenuation,44.92,0.60598,0.14330,0.32610
Exp2,attenuation,46.88,0.56340,0.16947,0.31289
Exp2,attenuation,48.83,0.52195,0.18628,0.29623
Exp2,attenuation,50.78,0.48284,0.19061,0.27729
Exp2,attenuation,52.73,0.44625,0.17945,0.25536
Exp2,attenuation,54.69,0.41123,0.15419,0.23035
Exp2,attenuation,56.64,0.37683,0.12219,0.20487
Exp2,attenuation,58.59,0.34312,0.09220,0.18291
Exp2,attenuation,60.55,0.31158,0.06933,0.16804
Exp2,attenuation,62.50,0.28504,0.05390,0.16227
Exp2,attenuation,64.45,0.26679,0.04388,0.16619
Exp2,attenuation,66.41,0.25959,0.03772,0.17988
Exp2,attenuation,68.36,0.26506,0.03608,0.20379
Exp2,attenuation,70.31,0.28251,0.04148,0.23822
Exp2,attenuation,72.27,0.30930,0.05578,0.28283
Exp2,attenuation,74.22,0.34190,0.07807,0.33641
Exp2,attenuation,76.17,0.37647,0.10582,0.39648
Exp2,attenuation,78.12,0.40942,0.13612,0.45877
Exp2,attenuation,80.08,0.43867,0.16537,0.51766
Exp2,attenuation,82.03,0.46422,0.18946,0.56730
Exp2,attenuation,83.98,0.48667,0.20551,0.60220
Exp2,attenuation,85.94,0.50576,0.21311,0.61764
Exp2,attenuation,87.89,0.51963,0.21438,0.61114
Exp2,attenuation,89.84,0.52524,0.21227,0.58348
Exp2,attenuation,91.80,0.51899,0.20812,0.53735
Exp2,attenuation,93.75,0.49822,0.20060,0.47516
Exp2,attenuation,95.70,0.46268,0.18736,0.39826
Exp2,attenuation,97.66,0.41513,0.16780,0.30909
Exp2,attenuation,99.61,0.36034,0.14425,0.21380
Exp2,attenuation,101.56,0.30398,0.12140,0.12275
Exp2,attenuation,103.52,0.25178,0.10460,0.04697
Exp2,attenuation,105.47,0.20870,0.09856,-0.00652
Exp2,attenuation,107.42,0.17850,0.10676,-0.03580
Exp2,attenuation,109.38,0.16290,0.13031,-0.04195
