experiment,subject,a_audio,b_visual,R2_full,R2_static,R2_audio,R2_visual
Exp1,Vp1,1.23510,0.23687,0.81748,0.74711,0.81308,-0.29352
Exp1,Vp2,0.78932,2.76095,0.93156,0.77827,0.59627,0.74901
Exp1,Vp4,1.00207,0.02034,0.90866,0.68331,0.90860,0.23528
Exp1,Vp5,1.01068,0.52942,0.71217,0.69671,0.70416,0.50402
Exp1,Vp6,0.98979,1.11075,0.85655,0.85581,0.79469,0.50712
Exp1,Vp7,1.14444,0.58722,0.87116,0.85316,0.85237,0.04718
Exp1,Vp8,0.68233,0.30971,0.55725,-0.12351,0.52708,0.36628
Exp1,Vp10,0.44757,1.75202,0.64043,0.59382,0.45126,0.61102
Exp1,Vp11,1.38069,-0.27790,0.69751,0.37330,0.68271,-0.06092
Exp1,Vp12,0.59646,1.27513,0.68167,0.59866,0.33114,0.50682
Exp1,Vp13,0.76479,0.65502,0.70565,0.60417,0.67389,0.25420
Exp1,Vp14,1.22377,0.52342,0.66511,0.53589,0.52387,-0.08932
Exp1,Vp15,1.01067,1.09632,0.64209,0.64074,0.48420,0.19426
Exp1,Vp16,0.99087,0.38149,0.69666,0.51696,0.64844,0.36223
Exp1,Vp17,0.56814,0.79413,0.80566,0.54692,0.64374,0.70233
Exp1,Vp18,0.96934,0.75166,0.87683,0.86714,0.81880,0.28088
Exp1,Vp19,1.57945,0.31438,0.51438,0.43872,0.50973,-0.03560
Exp1,Vp20,1.26261,-0.62281,0.88001,0.74285,0.85986,0.06987
Exp1,Vp22,1.21340,0.55862,0.61590,0.51922,0.46394,0.17069
Exp1,Vp23,0.84071,1.08260,0.86487,0.85537,0.80956,0.73262
Exp1,Vp24,0.98040,0.71001,0.39882,0.35911,0.17092,0.07776
Exp1,Vp25,0.34238,1.74764,0.69522,0.43309,0.59993,0.65976
