experiment,subject,component,AO_amp_uV,VO_amp_uV,VAO_amp_uV,AO_lat_ms,VO_lat_ms,VAO_lat_ms,SoP_pred_uV,PoS_pred_uV,D_SoP_uV,D_PoS_uV
Exp2,Vp1,N1,-4.45080,-2.13070,-5.86080,166.01562,166.01562,166.01562,-6.58150,-6.58150,0.72070,0.72070
Exp2,Vp2,N1,-4.27120,-0.29760,-2.94380,175.78125,175.78125,185.54688,-4.56880,-4.56880,1.62500,1.62500
Exp2,Vp3,N1,-5.49790,-2.61660,-11.39450,166.01562,175.78125,166.01562,-8.11450,-7.91170,-3.28000,-3.48280
Exp2,Vp4,N1,-4.33650,0.04690,-4.83900,166.01562,166.01562,166.01562,-4.28960,-4.28960,-0.54940,-0.54940
Exp2,Vp6,N1,-4.69530,-0.02200,-5.89700,169.92188,166.01562,177.73438,-4.71730,-4.61020,-1.17970,-1.28680
Exp2,Vp7,N1,-4.91910,-0.77390,-5.17290,166.01562,166.01562,166.01562,-5.69300,-5.69300,0.52010,0.52010
Exp2,Vp8,N1,-8.13400,-0.32420,-9.61800,166.01562,167.96875,166.01562,-8.45820,-8.45810,-1.15980,-1.15990
Exp2,Vp9,N1,-4.18410,-1.51760,-5.89550,166.01562,166.01562,166.01562,-5.70170,-5.70170,-0.19380,-0.19380
Exp2,Vp10,N1,-4.20480,-2.29610,-7.43980,169.92188,166.01562,166.01562,-6.50090,-6.47050,-0.93890,-0.96930
Exp2,Vp12,N1,-2.37080,-1.85190,-2.83640,173.82812,205.07812,187.50000,-4.22270,-3.33270,1.38630,0.49630
Exp2,Vp13,N1,-3.00170,-0.46210,-2.21130,166.01562,166.01562,166.01562,-3.46380,-3.46380,1.25250,1.25250
Exp2,Vp14,N1,-4.28020,0.11330,-4.45020,166.01562,166.01562,166.01562,-4.16690,-4.16690,-0.28330,-0.28330
Exp2,Vp17,N1,-5.66920,-2.55640,-7.87950,167.96875,166.01562,167.96875,-8.22560,-8.19970,0.34610,0.32020
Exp2,Vp20,N1,-6.35120,0.80450,-4.97820,177.73438,166.01562,166.01562,-5.54670,-4.83890,0.56850,-0.13930
Exp2,Vp21,N1,-2.81700,-0.46430,-5.60890,166.01562,166.01562,166.01562,-3.28130,-3.28130,-2.32760,-2.32760
Exp2,Vp23,N1,-0.66460,-2.05250,-5.11890,166.01562,166.01562,166.01562,-2.71710,-2.71710,-2.40180,-2.40180
Exp2,Vp24,N1,2.10200,-0.33450,-0.41050,166.01562,166.01562,166.01562,1.76750,1.76750,-2.17800,-2.17800
Exp2,Vp25,N1,-7.49640,-1.61380,-14.08000,166.01562,166.01562,166.01562,-9.11020,-9.11020,-4.96980,-4.96980
Exp2,Vp26,N1,-2.88360,0.26060,-4.32050,166.01562,193.35938,167.96875,-2.62300,-2.11070,-1.69750,-2.20980
Exp2,Vp27,N1,-2.10580,1.84050,-2.72230,166.01562,205.07812,166.01562,-0.26530,0.01550,-2.45700,-2.73780
Exp2,Vp28,N1,-4.49550,0.72150,-4.94250,166.01562,166.01562,169.92188,-3.77400,-3.77400,-1.16850,-1.16850
Exp2,Vp29,N1,0.00130,-1.88340,-0.56030,166.01562,205.07812,166.01562,-1.88210,3.79820,1.32180,-4.35850
Exp2,Vp30,N1,-4.54310,-0.11390,-5.30200,166.01562,166.01562,166.01562,-4.65700,-4.65700,-0.64500,-0.64500
Exp2,Vp31,N1,-1.40270,0.94120,-6.93150,166.01562,166.01562,166.01562,-0.46150,-0.46150,-6.47000,-6.47000
Exp2,Vp32,N1,-1.67830,-1.98110,-6.07660,166.01562,166.01562,166.01562,-3.65940,-3.65940,-2.41720,-2.41720
Exp2,Vp33,N1,-3.68860,0.70830,-1.78130,166.01562,166.01562,166.01562,-2.98030,-2.98030,1.19900,1.19900
Exp2,Vp34,N1,-5.95400,-0.79930,-3.50480,179.68750,166.01562,166.01562,-6.75330,-5.75140,3.24850,2.24660
Exp2,Vp35,N1,-1.89290,0.87400,-3.80530,166.01562,166.01562,166.01562,-1.01890,-1.01890,-2.78640,-2.78640
Exp2,Vp36,N1,-8.22500,2.02000,-7.29530,166.01562,166.01562,166.01562,-6.20500,-6.20500,-1.09030,-1.09030
Exp2,Vp38,N1,-1.38240,0.10950,-2.27380,166.01562,166.01562,166.01562,-1.27290,-1.27290,-1.00090,-1.00090
Exp2,Vp1,P2,17.16600,3.96140,20.16630,257.81250,248.04688,257.81250,21.12740,20.57630,-0.96110,-0.41000
Exp2,Vp2,P2,7.30880,2.68530,14.47980,263.67188,259.76562,265.62500,9.99410,9.97700,4.48570,4.50280
Exp2,Vp3,P2,5.88900,2.10440,11.17990,248.04688,250.00000,248.04688,7.99340,7.98940,3.18650,3.19050
Exp2,Vp4,P2,6.30350,3.79070,11.10020,248.04688,283.20312,261.71875,10.09420,8.63460,1.00600,2.46560
Exp2,Vp6,P2,2.29970,-2.23030,3.75180,248.04688,248.04688,248.04688,0.06940,0.06940,3.68240,3.68240
Exp2,Vp7,P2,4.22260,1.87160,4.92610,248.04688,257.81250,257.81250,6.09420,5.89420,-1.16810,-0.96810
Exp2,Vp8,P2,6.88110,7.40060,13.26120,261.71875,248.04688,255.85938,14.28170,14.21200,-1.02050,-0.95080
Exp2,Vp9,P2,3.12960,3.53730,7.27920,287.10938,248.04688,263.67188,6.66690,5.99850,0.61230,1.28070
Exp2,Vp10,P2,7.54190,3.24290,11.65930,248.04688,263.67188,248.04688,10.78480,9.75430,0.87450,1.90500
Exp2,Vp12,P2,5.45990,-1.44080,6.30890,255.85938,250.00000,269.53125,4.01910,3.97070,2.28980,2.33820
Exp2,Vp13,P2,3.85960,1.37460,6.40510,251.95312,287.10938,248.04688,5.23420,4.41850,1.17090,1.98660
Exp2,Vp14,P2,4.56440,3.05400,9.38980,248.04688,248.04688,248.04688,7.61840,7.61840,1.77140,1.77140
Exp2,Vp17,P2,7.98070,2.13750,8.47830,253.90625,248.04688,248.04688,10.11820,9.93980,-1.63990,-1.46150
Exp2,Vp20,P2,1.77580,3.49260,4.39240,263.67188,287.10938,287.10938,5.26840,5.15900,-0.87600,-0.76660
Exp2,Vp21,P2,13.21420,0.84700,17.90580,248.04688,248.04688,248.04688,14.06120,14.06120,3.84460,3.84460
Exp2,Vp23,P2,6.80850,3.03800,10.15950,248.04688,248.04688,248.04688,9.84650,9.84650,0.31300,0.31300
Exp2,Vp24,P2,4.76200,3.44520,4.14540,248.04688,281.25000,248.04688,8.20720,7.28180,-4.06180,-3.13640
Exp2,Vp25,P2,-0.93790,0.19170,2.40090,248.04688,265.62500,283.20312,-0.74620,-1.29560,3.14710,3.69650
Exp2,Vp26,P2,4.73240,1.69840,5.00810,263.67188,248.04688,271.48438,6.43080,6.27840,-1.42270,-1.27030
Exp2,Vp27,P2,6.57340,2.03340,8.52260,248.04688,285.15625,251.95312,8.60680,6.27610,-0.08420,2.24650
Exp2,Vp28,P2,7.52830,5.44340,12.30500,248.04688,248.04688,248.04688,12.97170,12.97170,-0.66670,-0.66670
Exp2,Vp29,P2,5.03560,-2.10490,0.10450,248.04688,261.71875,248.04688,2.93070,2.06490,-2.82620,-1.96040
Exp2,Vp30,P2,7.97720,2.24440,13.26240,248.04688,255.85938,257.81250,10.22160,9.76800,3.04080,3.49440
Exp2,Vp31,P2,8.57220,7.26970,9.77120,251.95312,277.34375,265.62500,15.84190,13.32130,-6.07070,-3.55010
Exp2,Vp32,P2,2.19850,0.54680,3.38190,248.04688,248.04688,248.04688,2.74530,2.74530,0.63660,0.63660
Exp2,Vp33,P2,6.59400,1.55400,9.10430,248.04688,248.04688,255.85938,8.14800,8.14800,0.95630,0.95630
Exp2,Vp34,P2,2.71420,2.80170,3.09280,250.00000,277.34375,273.43750,5.51590,4.74290,-2.42310,-1.65010
Exp2,Vp35,P2,5.09440,4.57700,15.14600,248.04688,248.04688,248.04688,9.67140,9.67140,5.47460,5.47460
Exp2,Vp36,P2,14.92780,5.61870,16.03760,248.04688,248.04688,261.71875,20.54650,20.54650,-4.50890,-4.50890
Exp2,Vp38,P2,7.39760,2.61830,15.10630,248.04688,248.04688,248.04688,10.01590,10.01590,5.09040,5.09040
