experiment,model,time_ms,a_audio,b_visual,R2
Exp1,replay,-99.61,0.01261,0.06849,-0.01348
Exp1,replay,-97.66,-0.07675,0.07310,-0.01293
Exp1,replay,-95.70,-0.17139,0.07623,0.00835
Exp1,replay,-93.75,-0.25672,0.07878,0.04689
Exp1,replay,-91.80,-0.31989,0.08342,0.09299
Exp1,replay,-89.84,-0.35280,0.09515,0.13521
Exp1,replay,-87.89,-0.35387,0.11532,0.16474
Exp1,replay,-85.94,-0.33114,0.13851,0.18001
Exp1,replay,-83.98,-0.29882,0.15854,0.18609
Exp1,replay,-82.03,-0.26797,0.17166,0.18753
Exp1,replay,-80.08,-0.24290,0.17379,0.18247
Exp1,replay,-78.12,-0.22357,0.15877,0.16260
Exp1,replay,-76.17,-0.20905,0.12235,0.12318
Exp1,replay,-74.22,-0.20026,0.06610,0.07711
Exp1,replay,-72.27,-0.20370,-0.00299,0.04942
Exp1,replay,-70.31,-0.23066,-0.07465,0.05150
Exp1,replay,-68.36,-0.27696,-0.13784,0.07087
Exp1,replay,-66.41,-0.29639,-0.18150,0.08361
Exp1,replay,-64.45,-0.25599,-0.20251,0.07668
Exp1,replay,-62.50,-0.19102,-0.20983,0.05713
Exp1,replay,-60.55,-0.13995,-0.21191,0.03254
Exp1,replay,-58.59,-0.11200,-0.20816,0.00073
Exp1,replay,-56.64,-0.10203,-0.19053,-0.04611
Exp1,replay,-54.69,-0.10461,-0.14658,-0.11489
Exp1,replay,-52.73,-0.12009,-0.06412,-0.20004
Exp1,replay,-50.78,-0.15238,0.05518,-0.27069
Exp1,replay,-48.83,-0.19031,0.15755,-0.29689
Exp1,replay,-46.88,-0.18894,0.14156,-0.29610
Exp1,replay,-44.92,-0.11811,0.00431,-0.26382
Exp1,replay,-42.97,0.00206,-0.14809,-0.18415
Exp1,replay,-41.02,0.14273,-0.24541,-0.08712
Exp1,replay,-39.06,0.26958,-0.27693,-0.00408
Exp1,replay,-37.11,0.33588,-0.26445,0.04923
Exp1,replay,-35.16,0.31590,-0.23832,0.07045
Exp1,replay,-33.20,0.22333,-0.21704,0.07025
Exp1,replay,-31.25,0.09027,-0.20486,0.06526
Exp1,replay,-29.30,-0.05179,-0.20013,0.06999
Exp1,replay,-27.34,-0.17747,-0.19931,0.09225
Exp1,replay,-25.39,-0.26974,-0.19617,0.12597
Exp1,replay,-23.44,-0.32451,-0.18378,0.14537
Exp1,replay,-21.48,-0.35059,-0.16026,0.12664
Exp1,replay,-19.53,-0.36051,-0.12980,0.08196
Exp1,replay,-17.58,-0.36199,-0.09824,0.04128
Exp1,replay,-15.62,-0.35793,-0.06944,0.01762
Exp1,replay,-13.67,-0.34910,-0.04673,0.00760
Exp1,replay,-11.72,-0.33553,-0.03433,0.00377
Exp1,replay,-9.77,-0.31576,-0.03502,0.00095
Exp1,replay,-7.81,-0.28768,-0.04819,-0.00215
Exp1,replay,-5.86,-0.25086,-0.07133,-0.00427
Exp1,replay,-3.91,-0.20836,-0.10172,-0.00354
Exp1,replay,-1.95,-0.16457,-0.13694,0.00121
Exp1,replay,0.00,-0.12364,-0.17549,0.01061
Exp1,replay,1.95,-0.08923,-0.21671,0.02504
Exp1,replay,3.91,-0.06339,-0.25966,0.04438
Exp1,replay,5.86,-0.04362,-0.30162,0.06748
Exp1,replay,7.81,-0.02277,-0.33828,0.09206
Exp1,replay,9.77,0.00823,-0.36601,0.11518
Exp1,replay,11.72,0.05597,-0.38404,0.13502
Exp1,replay,13.67,0.12041,-0.39367,0.15202
Exp1,replay,15.62,0.19420,-0.39645,0.16705
Exp1,replay,17.58,0.26627,-0.39360,0.17882
Exp1,replay,19.53,0.32660,-0.38631,0.18399
Exp1,replay,21.48,0.36858,-0.37563,0.17974
Exp1,replay,23.44,0.38871,-0.36165,0.16560
Exp1,replay,25.39,0.38708,-0.34310,0.14391
Exp1,replay,27.34,0.36781,-0.31806,0.11860
Exp1,replay,29.30,0.33678,-0.28487,0.09224
Exp1,replay,31.25,0.29950,-0.24312,0.06534
Exp1,replay,33.20,0.26187,-0.19502,0.03859
