experiment,model,subject,target_label,audio_label,visual_label,a_audio,b_visual,R2_full,R2_static,R2_audio,R2_visual
Exp1,self,Vp1,MVA,MA,MV,0.93932,0.27908,0.79088,0.67540,0.78805,0.57412
Exp1,self,Vp2,MVA,MA,MV,1.33620,1.20179,0.45393,0.40795,0.34624,-0.04659
Exp1,self,Vp4,MVA,MA,MV,0.53924,0.89549,0.72473,0.49874,0.67498,0.65675
Exp1,self,Vp5,MVA,MA,MV,0.79882,0.21598,0.75843,-0.16289,0.74487,0.40127
Exp1,self,Vp6,MVA,MA,MV,0.91077,-0.15082,0.78919,-0.43207,0.78484,0.52671
Exp1,self,Vp7,MVA,MA,MV,1.26755,0.34164,0.73523,0.66306,0.71619,0.22827
Exp1,self,Vp8,MVA,MA,MV,0.63102,-0.17435,0.42413,-3.15075,0.37980,-0.00019
Exp1,self,Vp10,MVA,MA,MV,1.09469,0.41448,0.77449,0.58900,0.74431,0.67205
Exp1,self,Vp11,MVA,MA,MV,1.37887,-0.08763,0.75142,-0.03374,0.74704,-0.28031
Exp1,self,Vp12,MVA,MA,MV,0.70046,-0.52730,0.13836,-1.28550,0.04094,-0.07045
Exp1,self,Vp13,MVA,MA,MV,0.75477,0.98793,0.50380,0.46398,0.31297,0.14593
Exp1,self,Vp14,MVA,MA,MV,0.45912,0.82758,0.81137,0.67885,-0.40255,0.74244
Exp1,self,Vp15,MVA,MA,MV,0.47609,-0.17946,0.19300,-4.30490,0.09490,-0.12061
Exp1,self,Vp16,MVA,MA,MV,0.90074,0.86375,0.74583,0.72988,0.58784,0.46772
Exp1,self,Vp17,MVA,MA,MV,1.13961,0.30325,0.80555,-0.00235,0.69041,0.40015
Exp1,self,Vp18,MVA,MA,MV,1.10543,0.83308,0.76713,0.76390,0.69567,0.64687
Exp1,self,Vp19,MVA,MA,MV,0.50798,1.02649,0.68419,0.60508,0.60805,0.66430
Exp1,self,Vp20,MVA,MA,MV,0.31973,0.86203,0.50115,-0.03487,0.25722,0.44839
Exp1,self,Vp22,MVA,MA,MV,0.22612,0.95739,0.69558,0.46327,0.24123,0.68994
Exp1,self,Vp23,MVA,MA,MV,1.32346,0.16352,0.78130,0.66710,0.77705,0.31373
Exp1,self,Vp24,MVA,MA,MV,-0.10552,1.50210,0.21764,-2.61973,-0.34260,0.19512
Exp1,self,Vp25,MVA,MA,MV,0.91347,0.54352,0.80051,0.71397,0.68183,-0.20093
Exp1,self,Vp26,MVA,MA,MV,0.86637,1.07193,0.76475,0.76218,0.47258,0.66350
