experiment,model,time_ms,a_audio,b_visual,R2
Exp1,self,-99.61,0.43786,0.06835,0.18027
Exp1,self,-97.66,0.41901,0.07484,0.18524
Exp1,self,-95.70,0.40770,0.06787,0.19163
Exp1,self,-93.75,0.41078,0.04140,0.20276
Exp1,self,-91.80,0.43432,-0.01008,0.22117
Exp1,self,-89.84,0.47946,-0.08301,0.24906
Exp1,self,-87.89,0.53817,-0.15880,0.28850
Exp1,self,-85.94,0.59380,-0.20592,0.33993
Exp1,self,-83.98,0.62980,-0.19993,0.40283
Exp1,self,-82.03,0.64064,-0.14566,0.47861
Exp1,self,-80.08,0.63231,-0.06805,0.56685
Exp1,self,-78.12,0.61521,0.01092,0.65381
Exp1,self,-76.17,0.59963,0.07912,0.71193
Exp1,self,-74.22,0.59396,0.13226,0.71932
Exp1,self,-72.27,0.60415,0.17193,0.67893
Exp1,self,-70.31,0.63227,0.20483,0.61833
Exp1,self,-68.36,0.67296,0.23949,0.56837
Exp1,self,-66.41,0.71022,0.28025,0.54188
Exp1,self,-64.45,0.72129,0.32607,0.53389
Exp1,self,-62.50,0.69265,0.37465,0.53612
Exp1,self,-60.55,0.63272,0.42057,0.54426
Exp1,self,-58.59,0.56649,0.45477,0.55680
Exp1,self,-56.64,0.51377,0.47276,0.57251
Exp1,self,-54.69,0.47831,0.47862,0.58814
Exp1,self,-52.73,0.45514,0.47922,0.59765
Exp1,self,-50.78,0.43900,0.47628,0.59569
Exp1,self,-48.83,0.42784,0.46309,0.58255
Exp1,self,-46.88,0.42354,0.43046,0.56413
Exp1,self,-44.92,0.42871,0.37762,0.54623
Exp1,self,-42.97,0.44437,0.31346,0.53250
Exp1,self,-41.02,0.47031,0.24926,0.52752
Exp1,self,-39.06,0.50598,0.19431,0.53824
Exp1,self,-37.11,0.54943,0.15503,0.56900
Exp1,self,-35.16,0.59355,0.13620,0.61468
Exp1,self,-33.20,0.62139,0.14419,0.65912
Exp1,self,-31.25,0.60915,0.18705,0.68424
Exp1,self,-29.30,0.54875,0.26122,0.68360
Exp1,self,-27.34,0.46493,0.33957,0.66138
Exp1,self,-25.39,0.39478,0.38851,0.62020
Exp1,self,-23.44,0.35814,0.39540,0.56153
Exp1,self,-21.48,0.35662,0.36810,0.49413
Exp1,self,-19.53,0.38488,0.31763,0.42956
Exp1,self,-17.58,0.43471,0.25045,0.37483
Exp1,self,-15.62,0.49462,0.17214,0.33227
Exp1,self,-13.67,0.55042,0.09316,0.30152
Exp1,self,-11.72,0.58876,0.02986,0.27924
Exp1,self,-9.77,0.60272,-0.00215,0.26103
Exp1,self,-7.81,0.59516,0.00203,0.24734
Exp1,self,-5.86,0.57806,0.02960,0.24174
Exp1,self,-3.91,0.56920,0.05191,0.24223
Exp1,self,-1.95,0.58320,0.04112,0.24065
Exp1,self,0.00,0.61750,-0.00722,0.23173
Exp1,self,1.95,0.65552,-0.07518,0.21834
Exp1,self,3.91,0.68479,-0.14395,0.20698
Exp1,self,5.86,0.70437,-0.20494,0.20303
Exp1,self,7.81,0.71924,-0.25502,0.20940
Exp1,self,9.77,0.73519,-0.29047,0.22683
Exp1,self,11.72,0.75686,-0.30636,0.25341
Exp1,self,13.67,0.78661,-0.30108,0.28443
Exp1,self,15.62,0.82367,-0.27778,0.31402
Exp1,self,17.58,0.86477,-0.24265,0.33818
Exp1,self,19.53,0.90549,-0.20383,0.35580
Exp1,self,21.48,0.93953,-0.16930,0.36666
Exp1,self,23.44,0.95578,-0.14192,0.36923
Exp1,self,25.39,0.93575,-0.11449,0.36129
Exp1,self,27.34,0.85611,-0.06850,0.34325
Exp1,self,29.30,0.70642,0.01590,0.32241
Exp1,self,31.25,0.51554,0.13826,0.31163
Exp1,self,33.20,0.33887,0.27150,0.31790
Exp1,self,35.16,0.20879,0.38802,0.33526
Exp1,self,37.11,0.12135,0.47978,0.35175
Exp1,self,39.06,0.05941,0.55274,0.35959
Exp1,self,41.02,0.00998,0.61478,0.35823
Exp1,self,42.97,-0.03141,0.66833,0.34999
Exp1,self,44.92,-0.06390,0.71045,0.33522
Exp1,self,46.88,-0.08564,0.73650,0.31164
Exp1,self,48.83,-0.09583,0.74262,0.27773
Exp1,self,50.78,-0.09523,0.72714,0.23636
Exp1,self,52.73,-0.08652,0.69182,0.19492
Exp1,self,54.69,-0.07384,0.64239,0.16233
Exp1,self,56.64,-0.06215,0.58812,0.14488
Exp1,self,58.59,-0.05577,0.53764,0.14267
Exp1,self,60.55,-0.05676,0.49426,0.14985
Exp1,self,62.50,-0.06336,0.45572,0.15831
Exp1,self,64.45,-0.06955,0.41790,0.16132
Exp1,self,66.41,-0.06564,0.37781,0.15513
Exp1,self,68.36,-0.04425,0.33604,0.13943
Exp1,self,70.31,-0.00896,0.29725,0.11780
Exp1,self,72.27,0.02643,0.26610,0.09512
Exp1,self,74.22,0.05058,0.24213,0.07409
Exp1,self,76.17,0.06273,0.22074,0.05568
Exp1,self,78.12,0.06981,0.19813,0.04077
Exp1,self,80.08,0.07867,0.17439,0.03054
Exp1,self,82.03,0.09271,0.15311,0.02592
Exp1,self,83.98,0.11241,0.13990,0.02766
Exp1,self,85.94,0.13688,0.14009,0.03668
Exp1,self,87.89,0.16560,0.15624,0.05466
Exp1,self,89.84,0.19931,0.18696,0.08375
Exp1,self,91.80,0.23976,0.22834,0.12486
Exp1,self,93.75,0.28752,0.27636,0.17590
Exp1,self,95.70,0.33839,0.32845,0.23154
Exp1,self,97.66,0.38094,0.38322,0.28446
Exp1,self,99.61,0.40092,0.43969,0.32840
Exp1,self,101.56,0.39264,0.49599,0.36149
Exp1,self,103.52,0.36448,0.54874,0.38615
Exp1,self,105.47,0.33084,0.59530,0.40619
Exp1,self,107.42,0.30212,0.63586,0.42433
Exp1,self,109.38,0.28312,0.67234,0.44190
Exp1,self,111.33,0.27563,0.70595,0.45893
Exp1,self,113.28,0.28040,0.73652,0.47491
Exp1,self,115.23,0.29756,0.76338,0.48910
Exp1,self,117.19,0.32652,0.78601,0.50076
Exp1,self,119.14,0.36572,0.80434,0.50881
Exp1,self,121.09,0.41258,0.81864,0.51142
Exp1,self,123.05,0.46374,0.82899,0.50537
Exp1,self,125.00,0.51637,0.83404,0.48624
Exp1,self,126.95,0.56930,0.83056,0.44970
Exp1,self,128.91,0.62261,0.81496,0.39355
Exp1,self,130.86,0.67650,0.78522,0.32003
Exp1,self,132.81,0.73062,0.74182,0.23709
Exp1,self,134.77,0.78421,0.68775,0.15734
Exp1,self,136.72,0.83601,0.62832,0.09438
Exp1,self,138.67,0.88391,0.57100,0.05773
Exp1,self,140.62,0.92567,0.52288,0.04865
Exp1,self,142.58,0.96018,0.48687,0.05937
Exp1,self,144.53,0.98743,0.46053,0.07602
Exp1,self,146.48,1.00715,0.43867,0.08412
Exp1,self,148.44,1.01767,0.41648,0.07423
Exp1,self,150.39,1.01570,0.39086,0.04535
Exp1,self,152.34,0.99673,0.36067,0.00538
Exp1,self,154.30,0.95589,0.32675,-0.03218
Exp1,self,156.25,0.88961,0.29184,-0.05447
Exp1,self,158.20,0.79820,0.26005,-0.05370
Exp1,self,160.16,0.68889,0.23619,-0.02797
Exp1,self,162.11,0.57643,0.22431,0.01975
Exp1,self,164.06,0.47806,0.22530,0.08302
Exp1,self,166.02,0.40653,0.23567,0.15438
Exp1,self,167.97,0.36708,0.24950,0.22764
Exp1,self,169.92,0.35877,0.26171,0.29897
Exp1,self,171.88,0.37674,0.26975,0.36625
Exp1,self,173.83,0.41443,0.27318,0.42850
Exp1,self,175.78,0.46487,0.27296,0.48512
Exp1,self,177.73,0.52170,0.27084,0.53525
Exp1,self,179.69,0.57994,0.26861,0.57816
Exp1,self,181.64,0.63649,0.26770,0.61433
Exp1,self,183.59,0.68978,0.26940,0.64553
Exp1,self,185.55,0.73903,0.27484,0.67346
Exp1,self,187.50,0.78382,0.28472,0.69853
Exp1,self,189.45,0.82414,0.29911,0.72000
Exp1,self,191.41,0.86037,0.31764,0.73677
Exp1,self,193.36,0.89316,0.33954,0.74793
Exp1,self,195.31,0.92325,0.36354,0.75293
Exp1,self,197.27,0.95147,0.38797,0.75189
Exp1,self,199.22,0.97876,0.41082,0.74560
Exp1,self,201.17,1.00612,0.43001,0.73523
Exp1,self,203.12,1.03451,0.44359,0.72185
Exp1,self,205.08,1.06466,0.44985,0.70584
Exp1,self,207.03,1.09698,0.44723,0.68645
Exp1,self,208.98,1.13136,0.43479,0.66239
Exp1,self,210.94,1.16720,0.41321,0.63322
Exp1,self,212.89,1.20355,0.38495,0.59993
Exp1,self,214.84,1.23917,0.35330,0.56349
Exp1,self,216.80,1.27245,0.32161,0.52343
Exp1,self,218.75,1.30136,0.29323,0.47807
Exp1,self,220.70,1.32389,0.27136,0.42588
Exp1,self,222.66,1.33858,0.25818,0.36621
Exp1,self,224.61,1.34527,0.25386,0.29982
Exp1,self,226.56,1.34577,0.25638,0.22927
Exp1,self,228.52,1.34338,0.26271,0.15811
Exp1,self,230.47,1.34155,0.27033,0.09006
Exp1,self,232.42,1.34288,0.27785,0.02834
Exp1,self,234.38,1.34894,0.28460,-0.02515
Exp1,self,236.33,1.36020,0.29031,-0.07130
Exp1,self,238.28,1.37584,0.29517,-0.11410
Exp1,self,240.23,1.39395,0.29974,-0.15860
Exp1,self,242.19,1.41251,0.30451,-0.20684
Exp1,self,244.14,1.42999,0.30977,-0.25646
Exp1,self,246.09,1.44544,0.31565,-0.30214
Exp1,self,248.05,1.45789,0.32189,-0.33939
Exp1,self,250.00,1.46590,0.32744,-0.36809
Exp1,self,251.95,1.46784,0.33074,-0.39228
Exp1,self,253.91,1.46269,0.33042,-0.41716
Exp1,self,255.86,1.45054,0.32589,-0.44489
Exp1,self,257.81,1.43226,0.31790,-0.47379
Exp1,self,259.77,1.40879,0.30859,-0.50017
Exp1,self,261.72,1.38110,0.30065,-0.52001
Exp1,self,263.67,1.35039,0.29634,-0.53007
Exp1,self,265.62,1.31810,0.29714,-0.52971
Exp1,self,267.58,1.28568,0.30369,-0.52204
Exp1,self,269.53,1.25433,0.31571,-0.51160
Exp1,self,271.48,1.22497,0.33255,-0.50095
Exp1,self,273.44,1.19815,0.35362,-0.48912
Exp1,self,275.39,1.17410,0.37842,-0.47185
Exp1,self,277.34,1.15345,0.40607,-0.44433
Exp1,self,279.30,1.13740,0.43533,-0.40399
Exp1,self,281.25,1.12619,0.46469,-0.35236
Exp1,self,283.20,1.11788,0.49233,-0.29463
Exp1,self,285.16,1.10892,0.51656,-0.23723
Exp1,self,287.11,1.09595,0.53646,-0.18552
Exp1,self,289.06,1.07675,0.55237,-0.14283
Exp1,self,291.02,1.05047,0.56527,-0.11146
Exp1,self,292.97,1.01741,0.57611,-0.09305
Exp1,self,294.92,0.97887,0.58563,-0.08753
Exp1,self,296.88,0.93729,0.59429,-0.09268
Exp1,self,298.83,0.89612,0.60167,-0.10587
Exp1,self,300.78,0.85885,0.60647,-0.12519
Exp1,self,302.73,0.82773,0.60735,-0.14923
Exp1,self,304.69,0.80328,0.60392,-0.17621
Exp1,self,306.64,0.78454,0.59725,-0.20355
Exp1,self,308.59,0.77001,0.58955,-0.22788
Exp1,self,310.55,0.75856,0.58347,-0.24541
Exp1,self,312.50,0.74990,0.58115,-0.25263
Exp1,self,314.45,0.74428,0.58341,-0.24739
Exp1,self,316.41,0.74221,0.58954,-0.23009
Exp1,self,318.36,0.74418,0.59791,-0.20413
Exp1,self,320.31,0.75036,0.60683,-0.17461
Exp1,self,322.27,0.76063,0.61517,-0.14669
Exp1,self,324.22,0.77482,0.62253,-0.12421
Exp1,self,326.17,0.79196,0.62913,-0.10932
Exp1,self,328.12,0.80977,0.63590,-0.10215
Exp1,self,330.08,0.82513,0.64410,-0.10177
Exp1,self,332.03,0.83538,0.65490,-0.10669
Exp1,self,333.98,0.83928,0.66878,-0.11445
Exp1,self,335.94,0.83740,0.68467,-0.12181
Exp1,self,337.89,0.83150,0.70010,-0.12695
Exp1,self,339.84,0.82310,0.71237,-0.13064
Exp1,self,341.80,0.81210,0.72031,-0.13564
Exp1,self,343.75,0.79619,0.72516,-0.14505
Exp1,self,345.70,0.77245,0.72934,-0.16076
Exp1,self,347.66,0.73986,0.73429,-0.18235
Exp1,self,349.61,0.70015,0.73982,-0.20738
Exp1,self,351.56,0.65661,0.74495,-0.23242
Exp1,self,353.52,0.61237,0.74928,-0.25460
Exp1,self,355.47,0.56977,0.75343,-0.27288
Exp1,self,357.42,0.53174,0.75805,-0.28777
Exp1,self,359.38,0.50223,0.76260,-0.30027
Exp1,self,361.33,0.48489,0.76532,-0.31208
Exp1,self,363.28,0.48176,0.76379,-0.32613
Exp1,self,365.23,0.49282,0.75567,-0.34559
Exp1,self,367.19,0.51593,0.73957,-0.37145
Exp1,self,369.14,0.54717,0.71595,-0.40174
Exp1,self,371.09,0.58174,0.68714,-0.43407
Exp1,self,373.05,0.61505,0.65618,-0.46808
Exp1,self,375.00,0.64318,0.62583,-0.50410
Exp1,self,376.95,0.66288,0.59838,-0.53965
Exp1,self,378.91,0.67204,0.57577,-0.56855
Exp1,self,380.86,0.67014,0.55924,-0.58419
Exp1,self,382.81,0.65791,0.54843,-0.58405
Exp1,self,384.77,0.63630,0.54077,-0.57085
Exp1,self,386.72,0.60631,0.53219,-0.54909
Exp1,self,388.67,0.56930,0.51913,-0.52096
Exp1,self,390.62,0.52685,0.50043,-0.48567
Exp1,self,392.58,0.48053,0.47751,-0.44185
Exp1,self,394.53,0.43246,0.45297,-0.39070
Exp1,self,396.48,0.38555,0.42892,-0.33732
Exp1,self,398.44,0.34341,0.40635,-0.28806
Exp1,self,400.39,0.30928,0.38563,-0.24755
Exp1,self,402.34,0.28536,0.36684,-0.21826
Exp1,self,404.30,0.27257,0.34978,-0.20117
Exp1,self,406.25,0.27057,0.33374,-0.19569
Exp1,self,408.20,0.27773,0.31775,-0.19964
Exp1,self,410.16,0.29214,0.30077,-0.20946
Exp1,self,412.11,0.31215,0.28201,-0.22001
Exp1,self,414.06,0.33631,0.26166,-0.22435
Exp1,self,416.02,0.36329,0.24195,-0.21512
Exp1,self,417.97,0.39211,0.22675,-0.18859
Exp1,self,419.92,0.42221,0.21914,-0.14723
Exp1,self,421.88,0.45302,0.21954,-0.09749
Exp1,self,423.83,0.48358,0.22657,-0.04525
Exp1,self,425.78,0.51200,0.23868,0.00603
Exp1,self,427.73,0.53528,0.25416,0.05470
Exp1,self,429.69,0.55023,0.27037,0.09993
Exp1,self,431.64,0.55509,0.28344,0.14128
Exp1,self,433.59,0.55042,0.28971,0.17857
Exp1,self,435.55,0.53815,0.28799,0.21226
Exp1,self,437.50,0.52036,0.28024,0.24354
Exp1,self,439.45,0.49872,0.27005,0.27419
Exp1,self,441.41,0.47511,0.26054,0.30589
Exp1,self,443.36,0.45250,0.25332,0.33975
Exp1,self,445.31,0.43453,0.24893,0.37616
Exp1,self,447.27,0.42421,0.24731,0.41451
Exp1,self,449.22,0.42311,0.24809,0.45307
Exp1,self,451.17,0.43086,0.25049,0.48871
Exp1,self,453.12,0.44523,0.25327,0.51761
Exp1,self,455.08,0.46270,0.25503,0.53719
Exp1,self,457.03,0.47952,0.25472,0.54710
Exp1,self,458.98,0.49270,0.25213,0.54888
Exp1,self,460.94,0.50073,0.24806,0.54501
Exp1,self,462.89,0.50346,0.24369,0.53775
Exp1,self,464.84,0.50192,0.23958,0.52856
Exp1,self,466.80,0.49809,0.23500,0.51820
Exp1,self,468.75,0.49459,0.22821,0.50724
Exp1,self,470.70,0.49388,0.21741,0.49637
Exp1,self,472.66,0.49730,0.20211,0.48633
Exp1,self,474.61,0.50467,0.18357,0.47730
Exp1,self,476.56,0.51451,0.16386,0.46865
Exp1,self,478.52,0.52483,0.14463,0.45938
Exp1,self,480.47,0.53355,0.12738,0.44883
Exp1,self,482.42,0.53850,0.11404,0.43645
Exp1,self,484.38,0.53741,0.10666,0.42135
Exp1,self,486.33,0.52854,0.10664,0.40324
Exp1,self,488.28,0.51178,0.11386,0.38327
Exp1,self,490.23,0.48901,0.12678,0.36374
Exp1,self,492.19,0.46306,0.14371,0.34680
Exp1,self,494.14,0.43665,0.16366,0.33397
Exp1,self,496.09,0.41213,0.18578,0.32622
Exp1,self,498.05,0.39124,0.20869,0.32338
