experiment,model,subject,target_label,audio_label,visual_label,a_audio,b_visual,R2_full,R2_static,R2_audio,R2_visual
Exp2,attenuation,Vp1,VAO-MVA,AO-MA,VO-MV,0.43045,0.11185,0.38619,-1.74060,0.37288,0.09989
Exp2,attenuation,Vp2,VAO-MVA,AO-MA,VO-MV,0.40831,0.21410,0.11706,-1.36569,0.06783,0.01177
Exp2,attenuation,Vp3,VAO-MVA,AO-MA,VO-MV,0.53977,0.09605,0.41321,-0.79731,0.40769,0.11531
Exp2,attenuation,Vp4,VAO-MVA,AO-MA,VO-MV,0.46163,0.54072,0.37759,-0.05146,0.20268,0.28982
Exp2,attenuation,Vp6,VAO-MVA,AO-MA,VO-MV,0.45917,0.31311,-0.12666,-1.20803,-0.18243,-0.36884
Exp2,attenuation,Vp7,VAO-MVA,AO-MA,VO-MV,0.75354,-0.40968,0.36573,-2.68226,0.23266,-0.06404
Exp2,attenuation,Vp8,VAO-MVA,AO-MA,VO-MV,0.31349,0.82915,0.53684,0.02452,0.23031,0.47326
Exp2,attenuation,Vp9,VAO-MVA,AO-MA,VO-MV,0.25726,0.37894,0.14939,-1.71506,0.06911,0.06603
Exp2,attenuation,Vp10,VAO-MVA,AO-MA,VO-MV,0.41450,-0.13692,0.16392,-2.94201,0.14053,-0.02133
Exp2,attenuation,Vp12,VAO-MVA,AO-MA,VO-MV,0.36310,0.30500,0.22549,-0.98299,0.01422,0.11258
Exp2,attenuation,Vp13,VAO-MVA,AO-MA,VO-MV,0.00511,0.32792,0.21942,-5.35854,0.16078,0.21941
Exp2,attenuation,Vp14,VAO-MVA,AO-MA,VO-MV,0.39791,-0.07062,-0.07412,-1.38185,-0.07904,-0.14024
Exp2,attenuation,Vp17,VAO-MVA,AO-MA,VO-MV,0.48294,0.52746,0.05764,-0.69331,-0.14599,-0.21059
Exp2,attenuation,Vp20,VAO-MVA,AO-MA,VO-MV,0.06005,0.34100,0.13634,-1.59163,0.02059,0.13332
Exp2,attenuation,Vp21,VAO-MVA,AO-MA,VO-MV,-0.29489,0.45242,-0.01883,-4.29174,-0.14192,-0.19360
Exp2,attenuation,Vp23,VAO-MVA,AO-MA,VO-MV,0.59175,1.01904,0.26671,0.16497,-0.77022,0.10058
Exp2,attenuation,Vp24,VAO-MVA,AO-MA,VO-MV,0.53395,-0.03404,0.10287,-1.61761,0.10128,-0.03406
Exp2,attenuation,Vp25,VAO-MVA,AO-MA,VO-MV,0.61217,-0.15799,0.14486,-0.43227,0.13755,-0.04034
Exp2,attenuation,Vp26,VAO-MVA,AO-MA,VO-MV,0.03081,0.37558,0.07719,-1.97196,-0.05881,0.07609
Exp2,attenuation,Vp27,VAO-MVA,AO-MA,VO-MV,0.36233,0.53684,0.55511,-0.70023,-0.01452,0.41340
Exp2,attenuation,Vp28,VAO-MVA,AO-MA,VO-MV,0.53473,0.03678,0.30787,-5.81203,0.29899,-0.03846
Exp2,attenuation,Vp29,VAO-MVA,AO-MA,VO-MV,0.17292,0.69610,0.62755,-0.91031,0.38586,0.61624
Exp2,attenuation,Vp30,VAO-MVA,AO-MA,VO-MV,0.79696,0.26836,0.23031,-0.36872,0.17592,-0.22227
Exp2,attenuation,Vp31,VAO-MVA,AO-MA,VO-MV,0.49821,0.33463,0.31663,-0.92602,0.16926,0.16826
Exp2,attenuation,Vp32,VAO-MVA,AO-MA,VO-MV,0.05715,0.45397,0.14463,-2.26414,-0.21540,0.13917
Exp2,attenuation,Vp33,VAO-MVA,AO-MA,VO-MV,0.18458,-0.30136,-0.68071,-3.10527,-0.70627,-0.70687
Exp2,attenuation,Vp34,VAO-MVA,AO-MA,VO-MV,0.04194,0.75097,0.34970,-2.94079,-0.13170,0.34355
Exp2,attenuation,Vp35,VAO-MVA,AO-MA,VO-MV,0.57110,0.30040,0.13757,-0.21965,0.08407,-0.03785
Exp2,attenuation,Vp36,VAO-MVA,AO-MA,VO-MV,0.58588,0.24458,0.64764,-6.38198,-0.08924,0.21213
Exp2,attenuation,Vp38,VAO-MVA,AO-MA,VO-MV,0.72460,0.06796,0.19326,-4.01420,0.17224,0.02533
