experiment,model,time_ms,a_audio,b_visual,R2
Exp1,attenuation,-99.61,0.53202,0.29567,0.49227
Exp1,attenuation,-97.66,0.48828,0.31645,0.43613
Exp1,attenuation,-95.70,0.43495,0.33380,0.37407
Exp1,attenuation,-93.75,0.37782,0.34218,0.32069
Exp1,attenuation,-91.80,0.32518,0.33846,0.28238
Exp1,attenuation,-89.84,0.28443,0.33027,0.26090
Exp1,attenuation,-87.89,0.25413,0.33369,0.25971
Exp1,attenuation,-85.94,0.22385,0.36245,0.28117
Exp1,attenuation,-83.98,0.18203,0.42026,0.31798
Exp1,attenuation,-82.03,0.12405,0.50060,0.35007
Exp1,attenuation,-80.08,0.06805,0.57722,0.35032
Exp1,attenuation,-78.12,0.07345,0.57271,0.29329
Exp1,attenuation,-76.17,0.16499,0.42347,0.20183
Exp1,attenuation,-74.22,0.24447,0.25939,0.15183
Exp1,attenuation,-72.27,0.27413,0.18476,0.15393
Exp1,attenuation,-70.31,0.28829,0.16676,0.17999
Exp1,attenuation,-68.36,0.31527,0.15799,0.20904
Exp1,attenuation,-66.41,0.37499,0.12427,0.23033
Exp1,attenuation,-64.45,0.46308,0.05919,0.24344
Exp1,attenuation,-62.50,0.53061,0.00048,0.24262
Exp1,attenuation,-60.55,0.54296,-0.02565,0.22056
Exp1,attenuation,-58.59,0.52045,-0.02687,0.18934
Exp1,attenuation,-56.64,0.50020,-0.00860,0.16778
Exp1,attenuation,-54.69,0.50068,0.03232,0.16458
Exp1,attenuation,-52.73,0.51176,0.09645,0.17432
Exp1,attenuation,-50.78,0.50843,0.17970,0.18104
Exp1,attenuation,-48.83,0.47326,0.27782,0.17643
Exp1,attenuation,-46.88,0.40917,0.38011,0.17264
Exp1,attenuation,-44.92,0.32946,0.46009,0.18178
Exp1,attenuation,-42.97,0.24602,0.48960,0.19413
Exp1,attenuation,-41.02,0.17426,0.46394,0.19277
Exp1,attenuation,-39.06,0.13876,0.40259,0.17689
Exp1,attenuation,-37.11,0.16010,0.34132,0.17287
Exp1,attenuation,-35.16,0.21414,0.31184,0.21718
Exp1,attenuation,-33.20,0.25321,0.31212,0.29291
Exp1,attenuation,-31.25,0.26678,0.31173,0.34549
Exp1,attenuation,-29.30,0.27887,0.27692,0.35176
Exp1,attenuation,-27.34,0.31418,0.19900,0.32183
Exp1,attenuation,-25.39,0.37373,0.10471,0.27633
Exp1,attenuation,-23.44,0.43302,0.03234,0.22584
Exp1,attenuation,-21.48,0.45933,0.00109,0.16765
Exp1,attenuation,-19.53,0.43327,0.00144,0.10190
Exp1,attenuation,-17.58,0.36098,0.00624,0.03863
Exp1,attenuation,-15.62,0.27291,-0.00654,-0.01230
Exp1,attenuation,-13.67,0.20838,-0.03156,-0.04743
Exp1,attenuation,-11.72,0.18350,-0.05018,-0.06818
Exp1,attenuation,-9.77,0.19103,-0.05821,-0.07174
Exp1,attenuation,-7.81,0.22299,-0.06147,-0.05309
Exp1,attenuation,-5.86,0.27541,-0.06384,-0.01377
Exp1,attenuation,-3.91,0.34524,-0.06585,0.04164
Exp1,attenuation,-1.95,0.42221,-0.06529,0.10856
Exp1,attenuation,0.00,0.48946,-0.05922,0.17796
Exp1,attenuation,1.95,0.53837,-0.04905,0.23679
