experiment,model,subject,target_label,audio_label,visual_label,target_P1_uV,audioPlusVisual_P1_uV,D_P1_uV,target_N2_uV,audioPlusVisual_N2_uV,D_N2_uV,whole_epoch_R2,whole_epoch_RMSE_uV
Exp1,attenuation,Vp1,VAO-MVA,AO-MA,VO-MV,-3.43638,-3.35568,-0.08070,-0.13485,-1.56170,1.42685,-1.69846,2.53150
Exp1,attenuation,Vp2,VAO-MVA,AO-MA,VO-MV,-1.32238,-2.50024,1.17786,-1.89519,-2.43044,0.53525,-0.91951,1.91754
Exp1,attenuation,Vp4,VAO-MVA,AO-MA,VO-MV,-2.17662,-0.21610,-1.96052,-1.30644,-6.49323,5.18679,-6.84233,4.20438
Exp1,attenuation,Vp5,VAO-MVA,AO-MA,VO-MV,0.16469,-0.77621,0.94090,-0.50714,-3.69631,3.18917,-1.78853,2.93325
Exp1,attenuation,Vp6,VAO-MVA,AO-MA,VO-MV,-2.14981,5.92676,-8.07657,-6.27602,-7.18643,0.91041,-1.12793,5.32338
Exp1,attenuation,Vp7,VAO-MVA,AO-MA,VO-MV,0.48527,-0.02514,0.51041,2.19491,1.45516,0.73975,-0.84227,2.70065
Exp1,attenuation,Vp8,VAO-MVA,AO-MA,VO-MV,-1.32411,1.41280,-2.73690,-1.19115,-4.11246,2.92130,-2.53233,4.00819
Exp1,attenuation,Vp10,VAO-MVA,AO-MA,VO-MV,-0.64026,-1.93042,1.29016,2.10389,-7.75941,9.86330,-5.14962,6.03912
Exp1,attenuation,Vp11,VAO-MVA,AO-MA,VO-MV,-2.81644,-0.17895,-2.63749,-2.40150,-1.79150,-0.61000,-4.90423,5.59859
Exp1,attenuation,Vp12,VAO-MVA,AO-MA,VO-MV,-0.86623,2.20417,-3.07040,-2.29540,5.42091,-7.71631,-5.50545,4.37912
Exp1,attenuation,Vp13,VAO-MVA,AO-MA,VO-MV,-0.19600,-0.90815,0.71216,0.96910,1.27166,-0.30257,-0.56308,4.31995
Exp1,attenuation,Vp14,VAO-MVA,AO-MA,VO-MV,-2.12224,-2.81887,0.69663,0.58783,1.37392,-0.78609,0.39476,2.18851
Exp1,attenuation,Vp15,VAO-MVA,AO-MA,VO-MV,-5.54467,-6.94747,1.40280,-1.71003,-1.17976,-0.53027,-1.03662,3.98392
Exp1,attenuation,Vp16,VAO-MVA,AO-MA,VO-MV,0.29337,-0.23876,0.53213,0.96982,2.42954,-1.45972,-0.88965,1.56287
Exp1,attenuation,Vp17,VAO-MVA,AO-MA,VO-MV,1.83803,5.14555,-3.30752,-0.97608,3.12538,-4.10147,-4.13239,4.82935
Exp1,attenuation,Vp18,VAO-MVA,AO-MA,VO-MV,-0.85421,4.02703,-4.88124,-3.55123,-4.23895,0.68772,-1.83078,3.02314
Exp1,attenuation,Vp19,VAO-MVA,AO-MA,VO-MV,-0.77123,-1.22700,0.45577,-3.59649,-8.64400,5.04752,-1.41664,4.23043
Exp1,attenuation,Vp20,VAO-MVA,AO-MA,VO-MV,-0.93536,2.62389,-3.55925,-4.46313,0.36735,-4.83048,-4.51821,5.00131
Exp1,attenuation,Vp22,VAO-MVA,AO-MA,VO-MV,-3.76349,-4.06050,0.29701,-3.15127,-4.30436,1.15309,-0.54327,3.18889
Exp1,attenuation,Vp23,VAO-MVA,AO-MA,VO-MV,1.69300,0.48628,1.20672,-0.54060,1.00127,-1.54187,-2.03573,3.59685
Exp1,attenuation,Vp24,VAO-MVA,AO-MA,VO-MV,-0.21652,0.51959,-0.73612,0.77382,-1.79218,2.56599,-1.95272,2.16200
Exp1,attenuation,Vp25,VAO-MVA,AO-MA,VO-MV,-2.90254,-8.60532,5.70278,-2.07556,-7.48264,5.40709,-5.48012,4.51842
Exp1,attenuation,Vp26,VAO-MVA,AO-MA,VO-MV,-0.62491,-3.45508,2.83017,0.57712,-1.57351,2.15063,-1.50666,1.92645
