experiment,time_ms,a_audio,b_visual,R2
Exp2,-99.61,0.91009,0.10531,0.27842
Exp2,-97.66,0.84895,0.05590,0.22437
Exp2,-95.70,0.77110,0.06283,0.17218
Exp2,-93.75,0.69321,0.05306,0.13264
Exp2,-91.80,0.59261,-0.05087,0.10410
Exp2,-89.84,0.48203,-0.20763,0.09057
Exp2,-87.89,0.40547,-0.25715,0.07644
Exp2,-85.94,0.33105,-0.21078,0.04505
Exp2,-83.98,0.22868,-0.14336,0.01154
Exp2,-82.03,0.12013,-0.08499,-0.00888
Exp2,-80.08,0.04309,-0.03343,-0.01603
Exp2,-78.12,0.01848,0.03498,-0.01349
Exp2,-76.17,0.04617,0.12373,0.00604
Exp2,-74.22,0.10547,0.21287,0.04693
Exp2,-72.27,0.16981,0.28305,0.08706
Exp2,-70.31,0.22195,0.32010,0.10372
Exp2,-68.36,0.25644,0.33237,0.10181
Exp2,-66.41,0.27571,0.34481,0.09587
Exp2,-64.45,0.28447,0.35455,0.08772
Exp2,-62.50,0.29269,0.33255,0.07365
Exp2,-60.55,0.32057,0.25771,0.05873
Exp2,-58.59,0.39010,0.14361,0.05746
Exp2,-56.64,0.50536,0.02149,0.07973
Exp2,-54.69,0.64259,-0.08943,0.12310
Exp2,-52.73,0.75758,-0.17645,0.17371
Exp2,-50.78,0.81040,-0.22723,0.21226
Exp2,-48.83,0.79420,-0.24479,0.22739
Exp2,-46.88,0.73088,-0.24814,0.22192
Exp2,-44.92,0.63844,-0.25432,0.20291
Exp2,-42.97,0.52324,-0.26796,0.17535
Exp2,-41.02,0.39613,-0.28207,0.14377
Exp2,-39.06,0.27493,-0.28632,0.11167
Exp2,-37.11,0.17557,-0.27403,0.08032
Exp2,-35.16,0.10745,-0.24353,0.05001
Exp2,-33.20,0.07354,-0.19761,0.02227
Exp2,-31.25,0.07155,-0.14104,0.00045
Exp2,-29.30,0.09464,-0.07528,-0.01117
Exp2,-27.34,0.13275,0.00349,-0.00812
Exp2,-25.39,0.17571,0.09559,0.01166
Exp2,-23.44,0.21475,0.18407,0.04154
Exp2,-21.48,0.23739,0.23814,0.06324
Exp2,-19.53,0.22840,0.23897,0.05987
Exp2,-17.58,0.18171,0.19646,0.03378
Exp2,-15.62,0.10677,0.13455,0.00379
Exp2,-13.67,0.02317,0.07101,-0.01295
Exp2,-11.72,-0.04876,0.01477,-0.01259
Exp2,-9.77,-0.09620,-0.02960,-0.00224
Exp2,-7.81,-0.11712,-0.06126,0.00937
Exp2,-5.86,-0.11793,-0.08448,0.01834
Exp2,-3.91,-0.10768,-0.10621,0.02571
Exp2,-1.95,-0.09391,-0.13107,0.03399
Exp2,0.00,-0.08116,-0.15779,0.04359
Exp2,1.95,-0.06960,-0.18087,0.05185
Exp2,3.91,-0.05652,-0.19776,0.05645
Exp2,5.86,-0.04206,-0.21352,0.05965
Exp2,7.81,-0.03108,-0.23569,0.06619
Exp2,9.77,-0.02775,-0.26421,0.07765
Exp2,11.72,-0.03140,-0.28553,0.08770
Exp2,13.67,-0.03681,-0.28109,0.08338
Exp2,15.62,-0.03746,-0.24419,0.05771
Exp2,17.58,-0.02998,-0.18343,0.01832
Exp2,19.53,-0.01484,-0.11587,-0.02144
Exp2,21.48,0.00588,-0.06179,-0.05407
Exp2,23.44,0.02997,-0.03391,-0.07850
Exp2,25.39,0.05458,-0.03162,-0.09620
Exp2,27.34,0.07619,-0.04560,-0.10961
Exp2,29.30,0.09339,-0.05943,-0.12196
Exp2,31.25,0.10733,-0.05636,-0.13639
Exp2,33.20,0.11810,-0.03281,-0.15196
Exp2,35.16,0.12468,0.00066,-0.16452
Exp2,37.11,0.12783,0.03173,-0.17307
Exp2,39.06,0.13045,0.05541,-0.17944
Exp2,41.02,0.13594,0.07489,-0.18429
Exp2,42.97,0.14682,0.09784,-0.18645
Exp2,44.92,0.16060,0.13008,-0.18534
Exp2,46.88,0.16722,0.17233,-0.18253
Exp2,48.83,0.15465,0.22403,-0.17903
Exp2,50.78,0.11698,0.28521,-0.17121
Exp2,52.73,0.05798,0.34918,-0.15343
Exp2,54.69,-0.00895,0.39694,-0.12787
Exp2,56.64,-0.06795,0.40406,-0.10771
Exp2,58.59,-0.11407,0.35434,-0.10347
Exp2,60.55,-0.15533,0.25258,-0.10640
Exp2,62.50,-0.19576,0.12886,-0.09357
Exp2,64.45,-0.22205,0.02346,-0.05545
Exp2,66.41,-0.21669,-0.03742,-0.00883
Exp2,68.36,-0.17775,-0.04660,0.02229
Exp2,70.31,-0.11920,-0.00637,0.02775
Exp2,72.27,-0.05776,0.07596,0.01926
Exp2,74.22,-0.00285,0.19003,0.02501
Exp2,76.17,0.04430,0.32312,0.06652
Exp2,78.12,0.08673,0.45874,0.13965
Exp2,80.08,0.12795,0.58094,0.22148
Exp2,82.03,0.16867,0.68381,0.29170
Exp2,83.98,0.20533,0.77084,0.34396
Exp2,85.94,0.23191,0.84506,0.38113
Exp2,87.89,0.24299,0.90451,0.40889
Exp2,89.84,0.23585,0.94514,0.43394
Exp2,91.80,0.21243,0.96476,0.46241
Exp2,93.75,0.18186,0.96474,0.49673
Exp2,95.70,0.16003,0.94948,0.53328
Exp2,97.66,0.15977,0.92470,0.56399
Exp2,99.61,0.18003,0.89543,0.58180
Exp2,101.56,0.20816,0.86561,0.58408
Exp2,103.52,0.23148,0.83875,0.57234
Exp2,105.47,0.24587,0.81857,0.55094
Exp2,107.42,0.25597,0.80831,0.52591
Exp2,109.38,0.26989,0.80950,0.50370
Exp2,111.33,0.29320,0.82127,0.48994
Exp2,113.28,0.32621,0.84070,0.48839
Exp2,115.23,0.36449,0.86396,0.49976
Exp2,117.19,0.40226,0.88730,0.52182
Exp2,119.14,0.43523,0.90784,0.55095
Exp2,121.09,0.46221,0.92376,0.58369
Exp2,123.05,0.48471,0.93410,0.61719
Exp2,125.00,0.50476,0.93874,0.64931
Exp2,126.95,0.52321,0.93837,0.67871
Exp2,128.91,0.54005,0.93416,0.70470
Exp2,130.86,0.55379,0.92748,0.72660
Exp2,132.81,0.56071,0.91972,0.74307
Exp2,134.77,0.55640,0.91223,0.75228
Exp2,136.72,0.53861,0.90618,0.75299
Exp2,138.67,0.50898,0.90239,0.74567
Exp2,140.62,0.47268,0.90119,0.73230
Exp2,142.58,0.43654,0.90226,0.71540
Exp2,144.53,0.40664,0.90483,0.69702
Exp2,146.48,0.38684,0.90792,0.67813
Exp2,148.44,0.37857,0.91042,0.65831
Exp2,150.39,0.38157,0.91130,0.63675
Exp2,152.34,0.39503,0.90990,0.61327
Exp2,154.30,0.41819,0.90629,0.58816
Exp2,156.25,0.45017,0.90118,0.56154
Exp2,158.20,0.48951,0.89555,0.53360
Exp2,160.16,0.53403,0.89030,0.50561
Exp2,162.11,0.58072,0.88599,0.48013
Exp2,164.06,0.62600,0.88267,0.45967
Exp2,166.02,0.66670,0.87995,0.44574
Exp2,167.97,0.70090,0.87736,0.43883
Exp2,169.92,0.72799,0.87456,0.43866
Exp2,171.88,0.74858,0.87125,0.44455
Exp2,173.83,0.76463,0.86715,0.45584
Exp2,175.78,0.77855,0.86226,0.47148
Exp2,177.73,0.79168,0.85704,0.48917
Exp2,179.69,0.80383,0.85245,0.50601
Exp2,181.64,0.81420,0.84955,0.52040
Exp2,183.59,0.82284,0.84913,0.53273
Exp2,185.55,0.83133,0.85142,0.54446
Exp2,187.50,0.84173,0.85620,0.55648
Exp2,189.45,0.85487,0.86320,0.56812
Exp2,191.41,0.86951,0.87230,0.57755
Exp2,193.36,0.88268,0.88347,0.58315
Exp2,195.31,0.89055,0.89644,0.58412
Exp2,197.27,0.88932,0.91054,0.58043
Exp2,199.22,0.87596,0.92480,0.57267
Exp2,201.17,0.84930,0.93807,0.56260
Exp2,203.12,0.81070,0.94907,0.55332
Exp2,205.08,0.76463,0.95648,0.54831
Exp2,207.03,0.71809,0.95922,0.54971
Exp2,208.98,0.67842,0.95705,0.55706
Exp2,210.94,0.65058,0.95076,0.56792
Exp2,212.89,0.63576,0.94166,0.57955
Exp2,214.84,0.63195,0.93101,0.59004
Exp2,216.80,0.63551,0.91971,0.59854
Exp2,218.75,0.64252,0.90830,0.60495
Exp2,220.70,0.64945,0.89700,0.60951
Exp2,222.66,0.65324,0.88594,0.61229
Exp2,224.61,0.65096,0.87523,0.61329
Exp2,226.56,0.64023,0.86501,0.61289
Exp2,228.52,0.62067,0.85559,0.61200
Exp2,230.47,0.59432,0.84742,0.61131
Exp2,232.42,0.56459,0.84091,0.61075
Exp2,234.38,0.53486,0.83624,0.60978
Exp2,236.33,0.50775,0.83354,0.60811
Exp2,238.28,0.48561,0.83288,0.60615
Exp2,240.23,0.47067,0.83441,0.60501
Exp2,242.19,0.46400,0.83817,0.60579
Exp2,244.14,0.46473,0.84404,0.60905
Exp2,246.09,0.47105,0.85165,0.61491
Exp2,248.05,0.48116,0.86041,0.62337
Exp2,250.00,0.49293,0.86963,0.63420
Exp2,251.95,0.50400,0.87875,0.64699
Exp2,253.91,0.51270,0.88738,0.66137
Exp2,255.86,0.51819,0.89526,0.67691
Exp2,257.81,0.52022,0.90223,0.69277
Exp2,259.77,0.51915,0.90807,0.70776
Exp2,261.72,0.51543,0.91248,0.72067
Exp2,263.67,0.50908,0.91515,0.73064
Exp2,265.62,0.50045,0.91595,0.73751
Exp2,267.58,0.49120,0.91516,0.74186
Exp2,269.53,0.48413,0.91335,0.74443
Exp2,271.48,0.48230,0.91127,0.74568
Exp2,273.44,0.48805,0.90947,0.74575
Exp2,275.39,0.50213,0.90806,0.74450
Exp2,277.34,0.52340,0.90681,0.74171
Exp2,279.30,0.54943,0.90544,0.73736
Exp2,281.25,0.57673,0.90379,0.73184
Exp2,283.20,0.60100,0.90157,0.72563
Exp2,285.16,0.61888,0.89846,0.71898
Exp2,287.11,0.62895,0.89435,0.71184
Exp2,289.06,0.63046,0.88935,0.70377
Exp2,291.02,0.62236,0.88379,0.69419
Exp2,292.97,0.60479,0.87799,0.68319
Exp2,294.92,0.58030,0.87231,0.67161
Exp2,296.88,0.55332,0.86711,0.66029
Exp2,298.83,0.52831,0.86276,0.64956
Exp2,300.78,0.50765,0.85949,0.63909
Exp2,302.73,0.49088,0.85748,0.62823
Exp2,304.69,0.47604,0.85711,0.61630
Exp2,306.64,0.46223,0.85880,0.60302
Exp2,308.59,0.45053,0.86251,0.58875
Exp2,310.55,0.44309,0.86776,0.57490
Exp2,312.50,0.44207,0.87422,0.56431
Exp2,314.45,0.44910,0.88194,0.56048
Exp2,316.41,0.46506,0.89084,0.56524
Exp2,318.36,0.48991,0.90038,0.57715
Exp2,320.31,0.52228,0.91014,0.59263
Exp2,322.27,0.55976,0.92048,0.60813
Exp2,324.22,0.59984,0.93223,0.62120
Exp2,326.17,0.64089,0.94561,0.63038
Exp2,328.12,0.68228,0.95946,0.63505
Exp2,330.08,0.72332,0.97172,0.63587
Exp2,332.03,0.76198,0.98079,0.63510
Exp2,333.98,0.79435,0.98660,0.63566
Exp2,335.94,0.81626,0.99022,0.63902
Exp2,337.89,0.82571,0.99264,0.64421
Exp2,339.84,0.82374,0.99439,0.64893
Exp2,341.80,0.81302,0.99610,0.65134
Exp2,343.75,0.79646,0.99877,0.65098
Exp2,345.70,0.77715,1.00320,0.64816
Exp2,347.66,0.75834,1.00905,0.64305
Exp2,349.61,0.74254,1.01524,0.63596
Exp2,351.56,0.73036,1.02108,0.62845
Exp2,353.52,0.72040,1.02688,0.62329
Exp2,355.47,0.71045,1.03320,0.62233
Exp2,357.42,0.69916,1.03985,0.62462
Exp2,359.38,0.68703,1.04622,0.62718
Exp2,361.33,0.67620,1.05219,0.62737
Exp2,363.28,0.66932,1.05829,0.62404
Exp2,365.23,0.66833,1.06496,0.61671
Exp2,367.19,0.67405,1.07153,0.60466
Exp2,369.14,0.68573,1.07624,0.58755
Exp2,371.09,0.70046,1.07750,0.56716
Exp2,373.05,0.71379,1.07492,0.54770
Exp2,375.00,0.72200,1.06888,0.53324
Exp2,376.95,0.72410,1.05924,0.52426
Exp2,378.91,0.72165,1.04525,0.51735
Exp2,380.86,0.71667,1.02669,0.50851
Exp2,382.81,0.71005,1.00485,0.49613
Exp2,384.77,0.70139,0.98221,0.48085
Exp2,386.72,0.68989,0.96095,0.46348
Exp2,388.67,0.67483,0.94175,0.44410
Exp2,390.62,0.65493,0.92423,0.42346
Exp2,392.58,0.62843,0.90827,0.40465
Exp2,394.53,0.59439,0.89430,0.39233
Exp2,396.48,0.55406,0.88243,0.38947
Exp2,398.44,0.51046,0.87195,0.39528
Exp2,400.39,0.46757,0.86224,0.40676
Exp2,402.34,0.42963,0.85384,0.42122
Exp2,404.30,0.40079,0.84811,0.43690
Exp2,406.25,0.38420,0.84593,0.45240
Exp2,408.20,0.38091,0.84707,0.46690
Exp2,410.16,0.38990,0.85071,0.48096
Exp2,412.11,0.40888,0.85609,0.49651
Exp2,414.06,0.43509,0.86238,0.51512
Exp2,416.02,0.46582,0.86799,0.53589
Exp2,417.97,0.49879,0.87094,0.55564
Exp2,419.92,0.53204,0.87028,0.57104
Exp2,421.88,0.56355,0.86670,0.58038
Exp2,423.83,0.59104,0.86186,0.58368
Exp2,425.78,0.61153,0.85761,0.58195
Exp2,427.73,0.62100,0.85593,0.57702
Exp2,429.69,0.61527,0.85859,0.57125
Exp2,431.64,0.59190,0.86668,0.56696
Exp2,433.59,0.55237,0.88006,0.56578
Exp2,435.55,0.50281,0.89729,0.56814
Exp2,437.50,0.45224,0.91635,0.57308
Exp2,439.45,0.40841,0.93579,0.57902
Exp2,441.41,0.37486,0.95519,0.58476
Exp2,443.36,0.35111,0.97454,0.58968
Exp2,445.31,0.33427,0.99382,0.59374
Exp2,447.27,0.32031,1.01296,0.59748
Exp2,449.22,0.30564,1.03139,0.60094
Exp2,451.17,0.28919,1.04784,0.60252
Exp2,453.12,0.27276,1.06108,0.59946
Exp2,455.08,0.25978,1.07077,0.58990
Exp2,457.03,0.25378,1.07737,0.57367
Exp2,458.98,0.25699,1.08130,0.55160
Exp2,460.94,0.26872,1.08258,0.52507
Exp2,462.89,0.28482,1.08112,0.49718
Exp2,464.84,0.29959,1.07724,0.47365
Exp2,466.80,0.30878,1.07141,0.46060
Exp2,468.75,0.31175,1.06327,0.45930
Exp2,470.70,0.31116,1.05161,0.46444
Exp2,472.66,0.31076,1.03631,0.46941
Exp2,474.61,0.31383,1.01921,0.47122
Exp2,476.56,0.32334,1.00185,0.46783
Exp2,478.52,0.34201,0.98302,0.45456
Exp2,480.47,0.36983,0.96032,0.42946
Exp2,482.42,0.40109,0.93510,0.40165
Exp2,484.38,0.42679,0.91370,0.38846
Exp2,486.33,0.44133,0.90194,0.40096
Exp2,488.28,0.44585,0.89880,0.43305
Exp2,490.23,0.44562,0.89699,0.46662
Exp2,492.19,0.44507,0.89103,0.48784
Exp2,494.14,0.44549,0.88337,0.49644
Exp2,496.09,0.44687,0.87967,0.49622
Exp2,498.05,0.44992,0.87963,0.48198
