experiment,subject,component,AO_amp_uV,VO_amp_uV,VAO_amp_uV,AO_lat_ms,VO_lat_ms,VAO_lat_ms,SoP_pred_uV,PoS_pred_uV,D_SoP_uV,D_PoS_uV
Exp2,Vp1,P1,0.31710,7.56246,7.17824,160.15625,140.62500,152.34375,7.87956,6.58722,-0.70132,0.59102
Exp2,Vp2,P1,1.48618,1.86574,2.50118,136.71875,123.04688,125.00000,3.35192,3.11392,-0.85074,-0.61274
Exp2,Vp3,P1,1.87428,4.41040,5.44446,156.25000,142.57812,140.62500,6.28468,6.04690,-0.84022,-0.60244
Exp2,Vp4,P1,1.00536,3.45148,5.32008,142.57812,156.25000,160.15625,4.45684,4.06002,0.86324,1.26006
Exp2,Vp6,P1,2.31750,5.24100,6.67472,156.25000,152.34375,126.95312,7.55850,7.53972,-0.88378,-0.86500
Exp2,Vp7,P1,1.46130,1.13632,3.29232,156.25000,160.15625,160.15625,2.59762,2.58490,0.69470,0.70742
Exp2,Vp8,P1,1.23328,8.07874,9.60034,148.43750,132.81250,142.57812,9.31202,8.57552,0.28832,1.02482
Exp2,Vp9,P1,1.25346,3.17660,2.99614,160.15625,142.57812,148.43750,4.43006,3.69918,-1.43392,-0.70304
Exp2,Vp10,P1,-0.63832,4.28014,4.27730,123.04688,146.48438,140.62500,3.64182,3.38872,0.63548,0.88858
Exp2,Vp12,P1,1.16032,6.81764,5.22814,150.39062,160.15625,160.15625,7.97796,7.79284,-2.74982,-2.56470
Exp2,Vp13,P1,-0.79100,4.47386,4.84294,160.15625,156.25000,158.20312,3.68286,3.63590,1.16008,1.20704
Exp2,Vp14,P1,-0.44692,4.54310,2.20594,123.04688,146.48438,144.53125,4.09618,3.24292,-1.89024,-1.03698
Exp2,Vp17,P1,3.53620,2.50664,3.16952,160.15625,140.62500,148.43750,6.04284,5.09456,-2.87332,-1.92504
Exp2,Vp20,P1,1.01300,2.17670,2.93544,136.71875,123.04688,123.04688,3.18970,3.16032,-0.25426,-0.22488
Exp2,Vp21,P1,-0.53410,8.83862,7.75452,136.71875,138.67188,138.67188,8.30452,8.30202,-0.55000,-0.54750
Exp2,Vp23,P1,0.14786,3.89386,4.59562,144.53125,160.15625,160.15625,4.04172,3.88956,0.55390,0.70606
Exp2,Vp24,P1,0.36874,3.47680,4.15248,146.48438,136.71875,160.15625,3.84554,3.81698,0.30694,0.33550
Exp2,Vp25,P1,4.99504,3.30804,5.07262,156.25000,140.62500,160.15625,8.30308,8.14538,-3.23046,-3.07276
Exp2,Vp26,P1,-0.48500,4.58814,2.72534,123.04688,160.15625,132.81250,4.10314,4.06980,-1.37780,-1.34446
Exp2,Vp27,P1,1.83744,10.37426,12.02696,140.62500,132.81250,132.81250,12.21170,12.04358,-0.18474,-0.01662
Exp2,Vp28,P1,0.68054,3.73394,3.96406,144.53125,125.00000,126.95312,4.41448,4.10608,-0.45042,-0.14202
Exp2,Vp29,P1,1.41752,3.91330,3.36944,150.39062,160.15625,160.15625,5.33082,5.07254,-1.96138,-1.70310
Exp2,Vp30,P1,1.82500,3.82000,3.91636,160.15625,146.48438,160.15625,5.64500,4.85320,-1.72864,-0.93684
Exp2,Vp31,P1,3.85768,4.60378,5.47810,150.39062,132.81250,132.81250,8.46146,7.73320,-2.98336,-2.25510
Exp2,Vp32,P1,1.50342,3.36110,3.89836,160.15625,140.62500,160.15625,4.86452,4.42658,-0.96616,-0.52822
Exp2,Vp33,P1,-1.13676,2.92688,3.03834,123.04688,138.67188,130.85938,1.79012,1.40924,1.24822,1.62910
Exp2,Vp34,P1,0.07288,5.52428,3.95486,123.04688,138.67188,140.62500,5.59716,5.08448,-1.64230,-1.12962
Exp2,Vp35,P1,-1.06636,7.60048,5.42574,146.48438,146.48438,144.53125,6.53412,6.53412,-1.10838,-1.10838
Exp2,Vp36,P1,1.50332,8.24246,4.59182,148.43750,160.15625,160.15625,9.74578,8.48000,-5.15396,-3.88818
Exp2,Vp38,P1,1.08744,2.99226,5.60166,140.62500,128.90625,138.67188,4.07970,3.79568,1.52196,1.80598
Exp2,Vp1,N2,-4.48270,3.59772,-0.44570,234.37500,222.65625,224.60938,-0.88498,-0.67854,0.43928,0.23284
Exp2,Vp2,N2,-0.25616,2.07456,1.35604,203.12500,203.12500,203.12500,1.81840,1.81840,-0.46236,-0.46236
Exp2,Vp3,N2,0.99078,5.36634,7.14162,207.03125,203.12500,240.23438,6.35712,6.38730,0.78450,0.75432
Exp2,Vp4,N2,-0.11050,0.99010,0.93596,224.60938,203.12500,205.07812,0.87960,2.00582,0.05636,-1.06986
Exp2,Vp6,N2,-1.73422,4.89678,5.79678,240.23438,203.12500,240.23438,3.16256,4.95754,2.63422,0.83924
Exp2,Vp7,N2,-0.15256,0.43868,1.65870,240.23438,232.42188,222.65625,0.28612,0.33284,1.37258,1.32586
Exp2,Vp8,N2,-0.72328,6.91404,6.02574,238.28125,203.12500,228.51562,6.19076,7.48990,-0.16502,-1.46416
Exp2,Vp9,N2,-1.81590,4.49308,3.63498,240.23438,203.12500,203.12500,2.67718,4.67954,0.95780,-1.04456
Exp2,Vp10,N2,-0.17590,1.63266,3.85026,240.23438,203.12500,203.12500,1.45676,2.30242,2.39350,1.54784
Exp2,Vp12,N2,-0.79090,7.12680,5.41746,240.23438,218.75000,218.75000,6.33590,6.88038,-0.91844,-1.46292
Exp2,Vp13,N2,-1.09194,3.46094,4.10130,238.28125,205.07812,203.12500,2.36900,2.87462,1.73230,1.22668
Exp2,Vp14,N2,-1.91496,3.12066,-0.09106,226.56250,208.98438,222.65625,1.20570,1.71510,-1.29676,-1.80616
Exp2,Vp17,N2,0.22602,5.46792,7.28510,240.23438,203.12500,203.12500,5.69394,7.38426,1.59116,-0.09916
Exp2,Vp20,N2,-1.14058,1.00472,1.57948,224.60938,203.12500,203.12500,-0.13586,0.50890,1.71534,1.07058
Exp2,Vp21,N2,-3.52996,5.47466,7.56750,240.23438,203.12500,226.56250,1.94470,4.25328,5.62280,3.31422
Exp2,Vp23,N2,-0.86304,2.52984,3.54406,240.23438,220.70312,232.42188,1.66680,2.42270,1.87726,1.12136
Exp2,Vp24,N2,1.42384,3.56472,4.81986,228.51562,210.93750,234.37500,4.98856,5.03504,-0.16870,-0.21518
Exp2,Vp25,N2,-2.85000,2.33858,-1.57120,212.89062,220.70312,216.79688,-0.51142,-0.26638,-1.05978,-1.30482
Exp2,Vp26,N2,-0.71324,2.66864,2.44626,232.42188,222.65625,207.03125,1.95540,2.04540,0.49086,0.40086
Exp2,Vp27,N2,-1.02688,5.51338,3.77438,218.75000,214.84375,240.23438,4.48650,4.51928,-0.71212,-0.74490
Exp2,Vp28,N2,-1.42158,1.01366,0.17746,238.28125,203.12500,203.12500,-0.40792,1.11106,0.58538,-0.93360
Exp2,Vp29,N2,1.31262,8.10034,7.19894,236.32812,203.12500,214.84375,9.41296,9.89412,-2.21402,-2.69518
Exp2,Vp30,N2,0.33146,1.74462,1.59644,226.56250,240.23438,230.46875,2.07608,2.48950,-0.47964,-0.89306
Exp2,Vp31,N2,1.93280,5.37384,5.97924,240.23438,203.12500,203.12500,7.30664,8.64104,-1.32740,-2.66180
Exp2,Vp32,N2,-1.83006,0.64052,1.46464,224.60938,240.23438,238.28125,-1.18954,-0.67186,2.65418,2.13650
Exp2,Vp33,N2,-1.57786,3.26192,3.79322,240.23438,240.23438,240.23438,1.68406,1.68406,2.10916,2.10916
Exp2,Vp34,N2,-0.58424,3.30400,3.38756,203.12500,207.03125,203.12500,2.71976,2.73556,0.66780,0.65200
Exp2,Vp35,N2,-2.25510,7.54818,5.04708,214.84375,203.12500,203.12500,5.29308,5.61292,-0.24600,-0.56584
Exp2,Vp36,N2,-1.51526,8.35774,2.48906,226.56250,218.75000,226.56250,6.84248,7.00226,-4.35342,-4.51320
Exp2,Vp38,N2,0.13302,0.12114,2.55042,207.03125,203.12500,203.12500,0.25416,0.28844,2.29626,2.26198
