experiment,model,time_ms,a_audio,b_visual,R2
Exp1,replay,-99.61,0.07400,-0.05816,0.01546
Exp1,replay,-97.66,0.04992,-0.06600,0.01208
Exp1,replay,-95.70,0.01735,-0.07752,0.00940
Exp1,replay,-93.75,-0.02078,-0.09781,0.01202
Exp1,replay,-91.80,-0.05008,-0.13015,0.02211
Exp1,replay,-89.84,-0.05141,-0.16892,0.03617
Exp1,replay,-87.89,-0.02222,-0.19909,0.04825
Exp1,replay,-85.94,0.01172,-0.21128,0.05305
Exp1,replay,-83.98,0.01589,-0.21252,0.04815
Exp1,replay,-82.03,-0.01538,-0.20828,0.03613
Exp1,replay,-80.08,-0.06031,-0.18847,0.02026
Exp1,replay,-78.12,-0.09953,-0.14159,0.00091
Exp1,replay,-76.17,-0.12026,-0.07765,-0.01908
Exp1,replay,-74.22,-0.11365,-0.02364,-0.03412
Exp1,replay,-72.27,-0.08588,0.00359,-0.03995
Exp1,replay,-70.31,-0.05673,0.00319,-0.03696
Exp1,replay,-68.36,-0.04173,-0.01709,-0.02901
Exp1,replay,-66.41,-0.04523,-0.04483,-0.01765
Exp1,replay,-64.45,-0.06812,-0.07111,-0.00218
Exp1,replay,-62.50,-0.10690,-0.10030,0.02151
Exp1,replay,-60.55,-0.15235,-0.14407,0.05885
Exp1,replay,-58.59,-0.19559,-0.20656,0.10916
Exp1,replay,-56.64,-0.23019,-0.27860,0.16191
Exp1,replay,-54.69,-0.25202,-0.34154,0.19970
Exp1,replay,-52.73,-0.25700,-0.37515,0.20726
Exp1,replay,-50.78,-0.24394,-0.36885,0.18451
Exp1,replay,-48.83,-0.22341,-0.32756,0.14673
Exp1,replay,-46.88,-0.20901,-0.26642,0.10971
Exp1,replay,-44.92,-0.20071,-0.20437,0.08212
Exp1,replay,-42.97,-0.18779,-0.15765,0.06231
Exp1,replay,-41.02,-0.15931,-0.13393,0.03989
Exp1,replay,-39.06,-0.11354,-0.13458,0.01463
Exp1,replay,-37.11,-0.06167,-0.15835,0.00207
Exp1,replay,-35.16,-0.01756,-0.20043,0.00918
Exp1,replay,-33.20,0.01720,-0.25038,0.02732
Exp1,replay,-31.25,0.05431,-0.29189,0.04349
Exp1,replay,-29.30,0.10400,-0.30776,0.04760
Exp1,replay,-27.34,0.16492,-0.28765,0.04051
Exp1,replay,-25.39,0.22641,-0.23325,0.03633
Exp1,replay,-23.44,0.27177,-0.15969,0.04843
Exp1,replay,-21.48,0.28352,-0.09004,0.06942
Exp1,replay,-19.53,0.25705,-0.04252,0.07653
Exp1,replay,-17.58,0.20555,-0.02094,0.06154
Exp1,replay,-15.62,0.14889,-0.02028,0.03710
Exp1,replay,-13.67,0.10392,-0.03665,0.01828
Exp1,replay,-11.72,0.08057,-0.06856,0.01318
Exp1,replay,-9.77,0.07675,-0.10962,0.02279
Exp1,replay,-7.81,0.07838,-0.14634,0.03779
Exp1,replay,-5.86,0.07683,-0.17080,0.04586
Exp1,replay,-3.91,0.07696,-0.18387,0.04409
Exp1,replay,-1.95,0.08668,-0.18912,0.03649
