experiment,model,subject,target_label,audio_label,visual_label,target_P1_uV,audioPlusVisual_P1_uV,D_P1_uV,target_N2_uV,audioPlusVisual_N2_uV,D_N2_uV,whole_epoch_R2,whole_epoch_RMSE_uV
Exp1,replay,Vp1,VAO,AO,VO,4.34401,4.17267,0.17135,3.49656,3.86577,-0.36921,0.86817,0.92611
Exp1,replay,Vp2,VAO,AO,VO,4.46214,4.37750,0.08465,0.27277,0.13912,0.13366,0.79914,0.97644
Exp1,replay,Vp4,VAO,AO,VO,1.12434,2.84520,-1.72086,1.37281,0.80253,0.57028,-0.45187,1.51120
Exp1,replay,Vp5,VAO,AO,VO,2.88512,5.04230,-2.15718,-3.25451,-5.41754,2.16303,-0.21400,1.91749
Exp1,replay,Vp6,VAO,AO,VO,4.20657,6.66982,-2.46324,-0.58430,1.54812,-2.13242,-1.18237,3.02273
Exp1,replay,Vp7,VAO,AO,VO,1.63180,1.08666,0.54514,-0.11129,-2.13606,2.02478,-0.37739,1.93447
Exp1,replay,Vp8,VAO,AO,VO,3.39135,4.86342,-1.47207,0.55935,1.58094,-1.02159,-0.03236,1.88280
Exp1,replay,Vp10,VAO,AO,VO,4.36445,3.01470,1.34975,1.36967,-0.82065,2.19032,0.11924,1.92633
Exp1,replay,Vp11,VAO,AO,VO,1.99091,5.31393,-3.32302,-3.86130,-2.51602,-1.34529,-0.88003,3.07971
Exp1,replay,Vp12,VAO,AO,VO,7.37585,8.71730,-1.34145,-0.45960,2.50662,-2.96622,0.44888,1.98880
Exp1,replay,Vp13,VAO,AO,VO,3.35948,4.69383,-1.33435,-1.90853,-1.78893,-0.11960,-0.13599,2.24411
Exp1,replay,Vp14,VAO,AO,VO,4.19840,3.67434,0.52406,-0.57386,-1.10531,0.53145,0.26361,1.92551
Exp1,replay,Vp15,VAO,AO,VO,2.70283,0.23600,2.46682,1.60377,0.72561,0.87816,-0.51031,2.08505
Exp1,replay,Vp16,VAO,AO,VO,3.07001,2.20966,0.86035,1.00787,1.95036,-0.94249,-0.66418,1.24856
Exp1,replay,Vp17,VAO,AO,VO,3.42963,1.73110,1.69852,-0.55295,3.16377,-3.71672,-1.18665,2.67312
Exp1,replay,Vp18,VAO,AO,VO,6.37069,6.27738,0.09331,-0.05314,-1.51305,1.45991,0.51105,1.62906
Exp1,replay,Vp19,VAO,AO,VO,3.81702,5.59541,-1.77839,-2.35722,-0.70006,-1.65716,-0.87135,3.27572
Exp1,replay,Vp20,VAO,AO,VO,-0.44893,-0.63093,0.18200,-3.81618,0.97376,-4.78994,-4.27057,3.98877
Exp1,replay,Vp22,VAO,AO,VO,3.62974,3.85246,-0.22272,-1.15270,-0.12989,-1.02281,-0.21740,2.27141
Exp1,replay,Vp23,VAO,AO,VO,4.58151,4.01682,0.56469,4.12432,4.61466,-0.49034,0.01497,2.67338
Exp1,replay,Vp24,VAO,AO,VO,2.18732,1.30054,0.88678,0.32279,-1.61818,1.94097,-1.18277,1.99070
Exp1,replay,Vp25,VAO,AO,VO,4.63678,1.85568,2.78109,1.35561,0.67231,0.68330,0.00547,2.14836
