experiment,model,subject,target_label,audio_label,visual_label,a_audio,b_visual,R2_full,R2_static,R2_audio,R2_visual
Exp1,self,Vp1,MVA,MA,MV,0.37127,0.97214,0.82765,0.50251,0.00849,0.74352
Exp1,self,Vp2,MVA,MA,MV,0.12278,0.90876,0.71071,0.33568,-0.01792,0.70594
Exp1,self,Vp4,MVA,MA,MV,0.27212,0.40543,0.42276,-2.36841,0.13255,0.37626
Exp1,self,Vp5,MVA,MA,MV,0.09065,0.76353,0.48721,-0.70195,0.04076,0.47972
Exp1,self,Vp6,MVA,MA,MV,0.84716,0.16421,0.69598,-0.47218,0.65834,-0.12661
Exp1,self,Vp7,MVA,MA,MV,0.50259,0.39572,0.67924,-0.75802,0.44943,0.54633
Exp1,self,Vp8,MVA,MA,MV,0.13204,0.56327,0.37069,-1.18026,-0.45524,0.35949
Exp1,self,Vp10,MVA,MA,MV,0.81797,0.19937,0.27703,-1.15486,0.20414,0.16927
Exp1,self,Vp11,MVA,MA,MV,0.36752,0.08659,0.18155,-3.55741,0.16312,-0.02203
Exp1,self,Vp12,MVA,MA,MV,0.83718,0.61640,0.08125,-0.05456,-0.26126,-0.14333
Exp1,self,Vp13,MVA,MA,MV,-0.03612,0.64181,0.10219,-0.76839,-0.11143,0.10169
Exp1,self,Vp14,MVA,MA,MV,0.84138,0.65323,0.77253,0.50226,0.22025,0.69033
Exp1,self,Vp15,MVA,MA,MV,0.68271,0.64207,0.55792,0.19413,0.03619,0.40082
Exp1,self,Vp16,MVA,MA,MV,0.24521,0.75221,0.63428,0.22698,0.15701,0.61357
Exp1,self,Vp17,MVA,MA,MV,-0.15739,0.19752,0.00281,-3.02534,-0.04039,-0.01561
Exp1,self,Vp18,MVA,MA,MV,-0.19261,0.81327,0.15666,-0.31938,-0.49801,0.14590
Exp1,self,Vp19,MVA,MA,MV,0.33925,0.22960,0.22448,-1.45555,0.17568,0.16935
Exp1,self,Vp20,MVA,MA,MV,0.56131,-0.06646,0.11379,-1.99018,0.10769,-0.30803
Exp1,self,Vp22,MVA,MA,MV,0.09121,0.89701,0.37152,0.01336,-0.17701,0.37034
Exp1,self,Vp23,MVA,MA,MV,0.41965,0.72059,0.68600,0.39570,0.19382,0.62744
Exp1,self,Vp24,MVA,MA,MV,0.53071,0.45417,0.03102,-0.21468,-0.07552,-0.08071
Exp1,self,Vp25,MVA,MA,MV,0.30183,0.74528,0.86110,-0.32954,0.45076,0.79929
