experiment,model,time_ms,a_audio,b_visual,R2
Exp1,self,-99.61,0.74138,0.24464,0.57401
Exp1,self,-97.66,0.73514,0.27583,0.54600
Exp1,self,-95.70,0.67396,0.34696,0.48654
Exp1,self,-93.75,0.56806,0.41311,0.42169
Exp1,self,-91.80,0.44452,0.44577,0.36818
Exp1,self,-89.84,0.34033,0.43972,0.32594
Exp1,self,-87.89,0.26972,0.41068,0.29293
Exp1,self,-85.94,0.22091,0.38386,0.27404
Exp1,self,-83.98,0.18488,0.37539,0.27239
Exp1,self,-82.03,0.17188,0.38264,0.28029
Exp1,self,-80.08,0.21622,0.37562,0.28394
Exp1,self,-78.12,0.33674,0.30787,0.28285
Exp1,self,-76.17,0.43117,0.22453,0.29538
Exp1,self,-74.22,0.45262,0.19525,0.33108
Exp1,self,-72.27,0.46171,0.19801,0.39068
Exp1,self,-70.31,0.48906,0.20391,0.46308
Exp1,self,-68.36,0.53991,0.19310,0.52905
Exp1,self,-66.41,0.60830,0.15428,0.57349
Exp1,self,-64.45,0.66790,0.10655,0.58488
Exp1,self,-62.50,0.68502,0.08058,0.55154
Exp1,self,-60.55,0.65070,0.07559,0.47462
Exp1,self,-58.59,0.58064,0.08016,0.37641
Exp1,self,-56.64,0.51005,0.09373,0.29304
Exp1,self,-54.69,0.47730,0.11904,0.24993
Exp1,self,-52.73,0.49255,0.15499,0.24273
Exp1,self,-50.78,0.53434,0.20143,0.24765
Exp1,self,-48.83,0.57242,0.26288,0.24784
Exp1,self,-46.88,0.58326,0.34268,0.24834
Exp1,self,-44.92,0.55173,0.43011,0.25882
Exp1,self,-42.97,0.47642,0.49814,0.27139
Exp1,self,-41.02,0.37950,0.52415,0.27438
Exp1,self,-39.06,0.30703,0.50871,0.28018
Exp1,self,-37.11,0.30019,0.47831,0.32653
Exp1,self,-35.16,0.33037,0.47124,0.43325
Exp1,self,-33.20,0.34328,0.49348,0.55511
Exp1,self,-31.25,0.33572,0.50665,0.63593
Exp1,self,-29.30,0.33849,0.46504,0.65581
Exp1,self,-27.34,0.37491,0.35599,0.61672
Exp1,self,-25.39,0.44115,0.20808,0.53261
Exp1,self,-23.44,0.51398,0.06608,0.42482
Exp1,self,-21.48,0.57321,-0.04071,0.31590
Exp1,self,-19.53,0.60985,-0.10721,0.22152
Exp1,self,-17.58,0.61134,-0.14448,0.14085
Exp1,self,-15.62,0.56325,-0.16793,0.06743
Exp1,self,-13.67,0.48991,-0.18289,0.00515
Exp1,self,-11.72,0.43068,-0.18761,-0.03952
Exp1,self,-9.77,0.39572,-0.18141,-0.06274
Exp1,self,-7.81,0.37950,-0.16473,-0.06190
Exp1,self,-5.86,0.37826,-0.13866,-0.03763
Exp1,self,-3.91,0.39233,-0.10553,0.00564
Exp1,self,-1.95,0.42019,-0.06907,0.06018
Exp1,self,0.00,0.45506,-0.03423,0.11391
Exp1,self,1.95,0.48856,-0.00684,0.15316
Exp1,self,3.91,0.51473,0.00945,0.17038
Exp1,self,5.86,0.53144,0.01697,0.16897
Exp1,self,7.81,0.54098,0.02365,0.15881
Exp1,self,9.77,0.54687,0.03701,0.14710
Exp1,self,11.72,0.54857,0.05379,0.13432
Exp1,self,13.67,0.54366,0.05630,0.11840
Exp1,self,15.62,0.53647,0.02957,0.10203
Exp1,self,17.58,0.53815,-0.02088,0.09291
Exp1,self,19.53,0.55184,-0.06805,0.09527
Exp1,self,21.48,0.56755,-0.07656,0.10556
Exp1,self,23.44,0.58362,-0.03371,0.11899
Exp1,self,25.39,0.61011,0.04307,0.13575
Exp1,self,27.34,0.64780,0.13008,0.15801
Exp1,self,29.30,0.67985,0.20961,0.18615
Exp1,self,31.25,0.68211,0.27307,0.21902
Exp1,self,33.20,0.64411,0.32451,0.25760
Exp1,self,35.16,0.57672,0.37211,0.30514
Exp1,self,37.11,0.49874,0.41571,0.35949
Exp1,self,39.06,0.42366,0.44938,0.40752
Exp1,self,41.02,0.35639,0.46860,0.43083
Exp1,self,42.97,0.29795,0.47016,0.41745
Exp1,self,44.92,0.25177,0.45045,0.36913
Exp1,self,46.88,0.22241,0.40869,0.30120
Exp1,self,48.83,0.21098,0.35258,0.23494
Exp1,self,50.78,0.21672,0.29583,0.18609
Exp1,self,52.73,0.23731,0.24876,0.15947
Exp1,self,54.69,0.26587,0.21538,0.15147
Exp1,self,56.64,0.29338,0.19671,0.15430
Exp1,self,58.59,0.31548,0.19244,0.16179
Exp1,self,60.55,0.33554,0.20054,0.17360
Exp1,self,62.50,0.36087,0.21787,0.19363
Exp1,self,64.45,0.39671,0.24052,0.22606
Exp1,self,66.41,0.44064,0.26292,0.27168
Exp1,self,68.36,0.48164,0.27858,0.32454
Exp1,self,70.31,0.50829,0.28447,0.37266
Exp1,self,72.27,0.51658,0.28505,0.40350
Exp1,self,74.22,0.51000,0.29012,0.41190
Exp1,self,76.17,0.49733,0.30715,0.40718
Exp1,self,78.12,0.48956,0.33581,0.40918
Exp1,self,80.08,0.49200,0.36940,0.43103
Exp1,self,82.03,0.49830,0.40075,0.46742
Exp1,self,83.98,0.49757,0.42740,0.50248
Exp1,self,85.94,0.48367,0.45110,0.52407
Exp1,self,87.89,0.45427,0.47440,0.52788
Exp1,self,89.84,0.40902,0.49919,0.51391
Exp1,self,91.80,0.35218,0.52712,0.48316
Exp1,self,93.75,0.30152,0.56109,0.43683
Exp1,self,95.70,0.28727,0.60484,0.37910
Exp1,self,97.66,0.30241,0.65562,0.32209
Exp1,self,99.61,0.29970,0.70736,0.27774
Exp1,self,101.56,0.26272,0.76175,0.24816
Exp1,self,103.52,0.19789,0.82436,0.22967
Exp1,self,105.47,0.11166,0.89881,0.21825
Exp1,self,107.42,0.01952,0.98134,0.21069
Exp1,self,109.38,-0.04162,1.05617,0.19795
Exp1,self,111.33,-0.03338,1.10245,0.16126
Exp1,self,113.28,0.04577,1.11029,0.08572
Exp1,self,115.23,0.16156,1.08510,-0.02121
Exp1,self,117.19,0.27876,1.03852,-0.13015
Exp1,self,119.14,0.38202,0.98082,-0.20762
Exp1,self,121.09,0.47194,0.91949,-0.23402
Exp1,self,123.05,0.55030,0.86072,-0.20823
Exp1,self,125.00,0.60975,0.81050,-0.14268
Exp1,self,126.95,0.63543,0.77399,-0.05787
Exp1,self,128.91,0.61753,0.75357,0.02455
Exp1,self,130.86,0.56521,0.74647,0.08749
Exp1,self,132.81,0.50538,0.74403,0.11966
Exp1,self,134.77,0.46477,0.73599,0.11658
Exp1,self,136.72,0.45572,0.71675,0.08246
Exp1,self,138.67,0.47843,0.68612,0.02777
Exp1,self,140.62,0.52818,0.64581,-0.03609
Exp1,self,142.58,0.59540,0.59838,-0.09899
Exp1,self,144.53,0.66168,0.54828,-0.15171
Exp1,self,146.48,0.70317,0.50148,-0.18346
Exp1,self,148.44,0.70413,0.46372,-0.17739
Exp1,self,150.39,0.66698,0.43940,-0.11750
Exp1,self,152.34,0.60965,0.43033,-0.01027
Exp1,self,154.30,0.55350,0.43443,0.11222
Exp1,self,156.25,0.51298,0.44594,0.22013
Exp1,self,158.20,0.49341,0.45846,0.30393
Exp1,self,160.16,0.49188,0.46837,0.36760
Exp1,self,162.11,0.49676,0.47601,0.41623
Exp1,self,164.06,0.49217,0.48402,0.45108
Exp1,self,166.02,0.46965,0.49420,0.47189
Exp1,self,167.97,0.43261,0.50627,0.47995
Exp1,self,169.92,0.39046,0.51923,0.47794
Exp1,self,171.88,0.35306,0.53217,0.46836
Exp1,self,173.83,0.32993,0.54400,0.45309
Exp1,self,175.78,0.33056,0.55341,0.43378
Exp1,self,177.73,0.36141,0.55965,0.41305
Exp1,self,179.69,0.41838,0.56372,0.39661
Exp1,self,181.64,0.48381,0.56830,0.39283
Exp1,self,183.59,0.53821,0.57546,0.40725
Exp1,self,185.55,0.57366,0.58451,0.43680
Exp1,self,187.50,0.59441,0.59242,0.47083
Exp1,self,189.45,0.60957,0.59562,0.49809
Exp1,self,191.41,0.62621,0.59113,0.51227
Exp1,self,193.36,0.64611,0.57775,0.51344
Exp1,self,195.31,0.66580,0.55778,0.50684
Exp1,self,197.27,0.67924,0.53690,0.49992
Exp1,self,199.22,0.68183,0.52106,0.49755
Exp1,self,201.17,0.67205,0.51311,0.49851
Exp1,self,203.12,0.64934,0.51290,0.49743
Exp1,self,205.08,0.61485,0.51888,0.49026
Exp1,self,207.03,0.57515,0.52828,0.47716
Exp1,self,208.98,0.53982,0.53808,0.46105
Exp1,self,210.94,0.51547,0.54669,0.44502
Exp1,self,212.89,0.50454,0.55323,0.43111
Exp1,self,214.84,0.50806,0.55563,0.42043
Exp1,self,216.80,0.52636,0.55106,0.41419
Exp1,self,218.75,0.55552,0.53924,0.41462
Exp1,self,220.70,0.58481,0.52436,0.42336
Exp1,self,222.66,0.60102,0.51310,0.43925
Exp1,self,224.61,0.59714,0.50993,0.45878
Exp1,self,226.56,0.57753,0.51319,0.47814
Exp1,self,228.52,0.55340,0.51628,0.49481
Exp1,self,230.47,0.53436,0.51308,0.50839
Exp1,self,232.42,0.52490,0.50159,0.52011
Exp1,self,234.38,0.52570,0.48371,0.53135
Exp1,self,236.33,0.53449,0.46371,0.54266
Exp1,self,238.28,0.54488,0.44672,0.55362
Exp1,self,240.23,0.54759,0.43667,0.56279
Exp1,self,242.19,0.53646,0.43461,0.56833
Exp1,self,244.14,0.51357,0.43889,0.56920
Exp1,self,246.09,0.48750,0.44639,0.56526
Exp1,self,248.05,0.46737,0.45362,0.55624
Exp1,self,250.00,0.45812,0.45788,0.54195
Exp1,self,251.95,0.45884,0.45784,0.52370
Exp1,self,253.91,0.46431,0.45311,0.50453
Exp1,self,255.86,0.47033,0.44398,0.48748
Exp1,self,257.81,0.47741,0.43169,0.47450
Exp1,self,259.77,0.48685,0.41848,0.46633
Exp1,self,261.72,0.49709,0.40637,0.46262
Exp1,self,263.67,0.50643,0.39612,0.46178
Exp1,self,265.62,0.51536,0.38743,0.46115
Exp1,self,267.58,0.52526,0.37983,0.45844
Exp1,self,269.53,0.53594,0.37334,0.45309
Exp1,self,271.48,0.54402,0.36880,0.44541
Exp1,self,273.44,0.54417,0.36789,0.43537
Exp1,self,275.39,0.53316,0.37208,0.42313
Exp1,self,277.34,0.51220,0.38179,0.41021
Exp1,self,279.30,0.48443,0.39696,0.39931
Exp1,self,281.25,0.45157,0.41783,0.39324
Exp1,self,283.20,0.41418,0.44454,0.39415
Exp1,self,285.16,0.37422,0.47603,0.40323
Exp1,self,287.11,0.33633,0.50953,0.41969
Exp1,self,289.06,0.30630,0.54106,0.43994
Exp1,self,291.02,0.28857,0.56669,0.45867
Exp1,self,292.97,0.28444,0.58367,0.47152
Exp1,self,294.92,0.29191,0.59087,0.47673
Exp1,self,296.88,0.30761,0.58835,0.47478
Exp1,self,298.83,0.32919,0.57665,0.46712
Exp1,self,300.78,0.35563,0.55670,0.45576
Exp1,self,302.73,0.38584,0.53036,0.44300
Exp1,self,304.69,0.41707,0.50091,0.43151
Exp1,self,306.64,0.44541,0.47240,0.42462
Exp1,self,308.59,0.46785,0.44824,0.42470
Exp1,self,310.55,0.48378,0.42990,0.43018
Exp1,self,312.50,0.49485,0.41647,0.43659
Exp1,self,314.45,0.50398,0.40519,0.44120
Exp1,self,316.41,0.51398,0.39240,0.44547
Exp1,self,318.36,0.52639,0.37528,0.45411
Exp1,self,320.31,0.54115,0.35383,0.47214
Exp1,self,322.27,0.55731,0.33159,0.50143
Exp1,self,324.22,0.57418,0.31373,0.53932
Exp1,self,326.17,0.59156,0.30411,0.58002
Exp1,self,328.12,0.60926,0.30405,0.61748
Exp1,self,330.08,0.62656,0.31293,0.64781
Exp1,self,332.03,0.64198,0.32970,0.66960
Exp1,self,333.98,0.65358,0.35319,0.68304
Exp1,self,335.94,0.66001,0.38141,0.68922
Exp1,self,337.89,0.66120,0.41082,0.68920
Exp1,self,339.84,0.65779,0.43663,0.68225
Exp1,self,341.80,0.64988,0.45406,0.66526
Exp1,self,343.75,0.63668,0.46070,0.63540
Exp1,self,345.70,0.61801,0.45754,0.59389
Exp1,self,347.66,0.59562,0.44755,0.54602
Exp1,self,349.61,0.57213,0.43393,0.49814
Exp1,self,351.56,0.54926,0.41953,0.45505
Exp1,self,353.52,0.52815,0.40570,0.41842
Exp1,self,355.47,0.51011,0.39166,0.38717
Exp1,self,357.42,0.49683,0.37558,0.35977
Exp1,self,359.38,0.48963,0.35678,0.33622
Exp1,self,361.33,0.48884,0.33714,0.31789
Exp1,self,363.28,0.49465,0.31969,0.30605
Exp1,self,365.23,0.50896,0.30484,0.30086
Exp1,self,367.19,0.53336,0.28920,0.29972
Exp1,self,369.14,0.56425,0.26947,0.29741
Exp1,self,371.09,0.59249,0.24572,0.28897
Exp1,self,373.05,0.60990,0.21957,0.27186
Exp1,self,375.00,0.61405,0.19243,0.24621
Exp1,self,376.95,0.60751,0.16656,0.21436
Exp1,self,378.91,0.59469,0.14541,0.18047
Exp1,self,380.86,0.57944,0.13188,0.14978
Exp1,self,382.81,0.56437,0.12740,0.12743
Exp1,self,384.77,0.55066,0.13232,0.11714
Exp1,self,386.72,0.53847,0.14604,0.12128
Exp1,self,388.67,0.52743,0.16672,0.14129
Exp1,self,390.62,0.51683,0.19126,0.17691
Exp1,self,392.58,0.50671,0.21582,0.22502
Exp1,self,394.53,0.49905,0.23649,0.27988
Exp1,self,396.48,0.49680,0.25013,0.33413
Exp1,self,398.44,0.50140,0.25598,0.38042
Exp1,self,400.39,0.51187,0.25666,0.41422
Exp1,self,402.34,0.52585,0.25676,0.43593
Exp1,self,404.30,0.54148,0.25944,0.44930
Exp1,self,406.25,0.55800,0.26453,0.45803
Exp1,self,408.20,0.57510,0.27003,0.46439
Exp1,self,410.16,0.59242,0.27374,0.46981
Exp1,self,412.11,0.60936,0.27256,0.47488
Exp1,self,414.06,0.62378,0.26369,0.47851
