experiment,model,subject,target_label,audio_label,visual_label,target_P1_uV,audioPlusVisual_P1_uV,D_P1_uV,target_N2_uV,audioPlusVisual_N2_uV,D_N2_uV,whole_epoch_R2,whole_epoch_RMSE_uV
Exp1,self,Vp1,MVA,MA,MV,7.78040,7.52834,0.25205,3.63141,5.42746,-1.79605,0.50251,2.32286
Exp1,self,Vp2,MVA,MA,MV,5.78452,6.87774,-1.09321,2.16797,2.56956,-0.40160,0.33568,1.75089
Exp1,self,Vp4,MVA,MA,MV,3.30096,3.06130,0.23966,2.67925,7.29576,-4.61651,-2.36841,3.54559
Exp1,self,Vp5,MVA,MA,MV,2.72043,5.81851,-3.09808,-2.74737,-1.72123,-1.02614,-0.70195,2.37424
Exp1,self,Vp6,MVA,MA,MV,6.35639,0.74306,5.61333,5.69172,8.73456,-3.04284,-0.47218,4.54236
Exp1,self,Vp7,MVA,MA,MV,1.14654,1.11181,0.03473,-2.30620,-3.59123,1.28503,-0.75802,2.56456
Exp1,self,Vp8,MVA,MA,MV,4.71546,3.45063,1.26483,1.75050,5.69340,-3.94289,-1.18026,3.56886
Exp1,self,Vp10,MVA,MA,MV,5.00471,4.94513,0.05958,-0.73422,6.93876,-7.67298,-1.15486,4.69681
Exp1,self,Vp11,MVA,MA,MV,4.80735,5.49288,-0.68553,-1.45980,-0.72451,-0.73529,-3.55741,5.06524
Exp1,self,Vp12,MVA,MA,MV,8.24208,6.51313,1.72895,1.83581,-2.91428,4.75009,-0.05456,2.89716
Exp1,self,Vp13,MVA,MA,MV,3.55548,5.60199,-2.04651,-2.87763,-3.06059,0.18296,-0.76839,3.51693
Exp1,self,Vp14,MVA,MA,MV,6.32064,6.49322,-0.17258,-1.16169,-2.47923,1.31754,0.50226,1.94248
Exp1,self,Vp15,MVA,MA,MV,8.24749,7.18348,1.06402,3.31380,1.90537,1.40844,0.19413,2.97108
Exp1,self,Vp16,MVA,MA,MV,2.77664,2.44842,0.32822,0.03805,-0.47918,0.51723,0.22698,1.14108
Exp1,self,Vp17,MVA,MA,MV,1.59160,-3.41445,5.00605,0.42314,0.03839,0.38475,-3.02534,4.02445
Exp1,self,Vp18,MVA,MA,MV,7.22491,2.25035,4.97455,3.49809,2.72590,0.77219,-0.31938,3.17363
Exp1,self,Vp19,MVA,MA,MV,4.58825,6.82241,-2.23416,1.23926,7.94394,-6.70468,-1.45555,4.87011
Exp1,self,Vp20,MVA,MA,MV,0.48643,-3.25482,3.74125,0.64696,0.60641,0.04055,-1.99018,2.54855
Exp1,self,Vp22,MVA,MA,MV,7.39323,7.91296,-0.51973,1.99858,4.17447,-2.17589,0.01336,2.89900
Exp1,self,Vp23,MVA,MA,MV,2.88850,3.53053,-0.64203,4.66491,3.61338,1.05153,0.39570,2.34057
Exp1,self,Vp24,MVA,MA,MV,2.40384,0.78095,1.62289,-0.45103,0.17400,-0.62502,-0.21468,1.64061
Exp1,self,Vp25,MVA,MA,MV,7.53932,10.46100,-2.92169,3.43117,8.15496,-4.72379,-0.32954,3.80466
Exp1,self,Vp26,MVA,MA,MV,5.18185,6.76778,-1.58593,0.88475,2.24922,-1.36448,0.65754,1.29381
