experiment,subject,VAO_P1_uV,AOplusVO_P1_uV,D_P1_uV,VAO_N2_uV,AOplusVO_N2_uV,D_N2_uV,whole_epoch_R2,whole_epoch_RMSE_uV
Exp2,Vp1,5.55109,5.63404,-0.08295,0.42817,0.08991,0.33827,0.51815,1.91478
Exp2,Vp2,2.25977,2.03039,0.22938,2.74187,3.03376,-0.29188,0.40406,1.51861
Exp2,Vp3,4.81459,5.29111,-0.47651,8.08814,8.07080,0.01734,0.88552,1.10859
Exp2,Vp4,1.85981,2.54449,-0.68468,2.09970,2.55642,-0.45672,0.74885,0.93968
Exp2,Vp6,5.47148,5.40728,0.06419,7.51604,6.41543,1.10061,0.34749,2.28073
Exp2,Vp7,1.90866,1.47871,0.42995,1.86813,0.71694,1.15119,-0.35988,1.64452
Exp2,Vp8,7.86835,7.44719,0.42116,7.70461,8.03665,-0.33204,0.81206,1.54728
Exp2,Vp9,2.51559,3.29527,-0.77968,5.14286,7.31803,-2.17517,0.77533,1.40402
Exp2,Vp10,3.59021,2.80936,0.78085,5.06229,2.90321,2.15907,0.26225,1.75495
Exp2,Vp12,4.65077,6.41804,-1.76728,5.57756,7.06475,-1.48720,0.83484,1.15845
Exp2,Vp13,4.18932,2.31670,1.87262,4.58483,3.17602,1.40881,0.62776,1.34205
Exp2,Vp14,1.87563,3.00809,-1.13246,0.38273,2.40407,-2.02134,-0.94605,1.84472
Exp2,Vp17,2.20306,4.05011,-1.84705,9.59484,8.42213,1.17271,0.83292,1.59133
Exp2,Vp20,2.18240,2.49214,-0.30974,2.25409,1.40157,0.85252,0.49858,0.93552
Exp2,Vp21,7.12757,6.98225,0.14532,7.83764,5.50797,2.32967,0.72100,2.51522
Exp2,Vp23,3.32420,2.58067,0.74353,3.96031,3.21347,0.74684,0.85030,0.70889
Exp2,Vp24,3.20455,3.19714,0.00741,5.52176,5.50721,0.01455,0.27423,2.24824
Exp2,Vp25,1.97336,5.63618,-3.66282,-0.26294,1.99598,-2.25892,0.40573,2.53126
Exp2,Vp26,2.62465,3.31107,-0.68642,2.67597,2.75219,-0.07622,0.67612,1.03291
Exp2,Vp27,10.20141,10.43000,-0.22859,5.14677,5.02504,0.12172,0.91775,0.91214
Exp2,Vp28,3.26113,3.37044,-0.10931,0.56882,1.73584,-1.16702,-0.25569,1.54933
Exp2,Vp29,2.73125,4.57376,-1.84251,7.87118,11.36222,-3.49103,0.46211,2.43002
Exp2,Vp30,3.03943,3.70256,-0.66313,2.68427,3.96754,-1.28327,0.67880,0.96798
Exp2,Vp31,4.70414,7.20264,-2.49850,6.62535,9.54254,-2.91719,-0.03665,2.35479
Exp2,Vp32,1.79712,3.53069,-1.73357,2.55851,1.10152,1.45700,0.28456,1.64333
Exp2,Vp33,2.67618,0.69962,1.97656,5.42650,2.79127,2.63523,0.52124,1.77572
Exp2,Vp34,3.49648,3.95520,-0.45872,4.14769,3.66763,0.48006,0.72817,1.20644
Exp2,Vp35,4.68717,5.70215,-1.01497,6.96887,7.31152,-0.34265,0.90120,1.33146
Exp2,Vp36,3.63812,6.48632,-2.84820,3.36442,7.86941,-4.50498,-0.04191,2.43911
Exp2,Vp38,5.02221,3.14029,1.88192,3.68649,1.59014,2.09634,0.22465,2.05595
