experiment,model,channel,target_label,audio_label,visual_label,a_audio,a_sem,b_visual,b_sem,R2,audio_minus_visual
Exp1,attenuation,Fp1,VAO-MVA,AO-MA,VO-MV,0.55174,0.10611,0.24363,0.16060,0.32518,0.30811
Exp1,attenuation,AF3,VAO-MVA,AO-MA,VO-MV,0.54450,0.08517,0.30045,0.09684,0.26739,0.24405
Exp1,attenuation,F7,VAO-MVA,AO-MA,VO-MV,0.50292,0.07024,0.41849,0.11718,0.27035,0.08443
Exp1,attenuation,F3,VAO-MVA,AO-MA,VO-MV,0.50127,0.08270,0.31678,0.09157,0.24997,0.18449
Exp1,attenuation,FC1,VAO-MVA,AO-MA,VO-MV,0.61997,0.10017,0.23666,0.09556,0.33310,0.38331
Exp1,attenuation,FC5,VAO-MVA,AO-MA,VO-MV,0.56264,0.06797,0.40360,0.12629,0.33321,0.15904
Exp1,attenuation,T7,VAO-MVA,AO-MA,VO-MV,0.36431,0.08395,0.34423,0.05739,0.19351,0.02008
Exp1,attenuation,C3,VAO-MVA,AO-MA,VO-MV,0.57663,0.10587,0.25420,0.09031,0.29723,0.32243
Exp1,attenuation,CP1,VAO-MVA,AO-MA,VO-MV,0.54658,0.08709,0.18380,0.08729,0.23129,0.36277
Exp1,attenuation,CP5,VAO-MVA,AO-MA,VO-MV,0.48281,0.07100,0.15676,0.08009,0.27462,0.32605
Exp1,attenuation,P7,VAO-MVA,AO-MA,VO-MV,0.40210,0.07653,0.24865,0.08975,0.30870,0.15345
Exp1,attenuation,P3,VAO-MVA,AO-MA,VO-MV,0.39048,0.08696,0.19072,0.08089,0.16699,0.19976
Exp1,attenuation,Pz,VAO-MVA,AO-MA,VO-MV,0.45436,0.07064,0.17778,0.07285,0.20450,0.27658
Exp1,attenuation,PO3,VAO-MVA,AO-MA,VO-MV,0.32854,0.07093,0.28877,0.08847,0.22534,0.03978
Exp1,attenuation,O1,VAO-MVA,AO-MA,VO-MV,0.31905,0.06918,0.27159,0.08566,0.19395,0.04745
Exp1,attenuation,Oz,VAO-MVA,AO-MA,VO-MV,0.38169,0.07091,0.20256,0.08216,0.16305,0.17913
Exp1,attenuation,O2,VAO-MVA,AO-MA,VO-MV,0.40419,0.07129,0.18720,0.07397,0.10501,0.21699
Exp1,attenuation,PO4,VAO-MVA,AO-MA,VO-MV,0.28836,0.06199,0.16809,0.08300,0.07966,0.12027
Exp1,attenuation,P4,VAO-MVA,AO-MA,VO-MV,0.37788,0.06684,0.17437,0.06430,0.04248,0.20350
Exp1,attenuation,P8,VAO-MVA,AO-MA,VO-MV,0.45998,0.05445,0.22534,0.07019,0.14961,0.23463
Exp1,attenuation,CP6,VAO-MVA,AO-MA,VO-MV,0.45123,0.08049,0.14292,0.06183,0.16736,0.30831
Exp1,attenuation,CP2,VAO-MVA,AO-MA,VO-MV,0.54212,0.08884,0.07520,0.06212,0.19897,0.46692
Exp1,attenuation,C4,VAO-MVA,AO-MA,VO-MV,0.46264,0.08724,0.12847,0.04993,0.19208,0.33417
Exp1,attenuation,T8,VAO-MVA,AO-MA,VO-MV,0.42862,0.08855,0.20930,0.05191,0.13547,0.21932
Exp1,attenuation,FC6,VAO-MVA,AO-MA,VO-MV,0.40251,0.07968,0.22450,0.07359,0.26421,0.17801
Exp1,attenuation,FC2,VAO-MVA,AO-MA,VO-MV,0.57218,0.09107,0.14049,0.08021,0.36035,0.43168
Exp1,attenuation,F4,VAO-MVA,AO-MA,VO-MV,0.40597,0.09715,0.30259,0.12098,0.27443,0.10338
Exp1,attenuation,F8,VAO-MVA,AO-MA,VO-MV,0.36590,0.11703,0.15988,0.10048,0.20319,0.20603
Exp1,attenuation,AF4,VAO-MVA,AO-MA,VO-MV,0.44015,0.10162,0.29160,0.10723,0.28636,0.14855
Exp1,attenuation,Fp2,VAO-MVA,AO-MA,VO-MV,0.45857,0.09946,0.27562,0.12709,0.39410,0.18295
Exp1,attenuation,Fz,VAO-MVA,AO-MA,VO-MV,0.56939,0.08607,0.26716,0.10147,0.36684,0.30223
Exp1,attenuation,Cz,VAO-MVA,AO-MA,VO-MV,0.64655,0.10174,0.17423,0.08087,0.32203,0.47232
