experiment,model,channel,target_label,audio_label,visual_label,a_audio,a_sem,b_visual,b_sem,R2,audio_minus_visual
Exp1,replay,Fp1,VAO,AO,VO,0.57057,0.07304,0.36332,0.13068,0.43192,0.20726
Exp1,replay,AF3,VAO,AO,VO,0.68360,0.07009,0.33254,0.11561,0.43558,0.35106
Exp1,replay,F7,VAO,AO,VO,0.60362,0.10844,0.20058,0.08562,0.14574,0.40304
Exp1,replay,F3,VAO,AO,VO,0.77560,0.05669,0.37746,0.11474,0.55620,0.39814
Exp1,replay,FC1,VAO,AO,VO,0.89827,0.06974,0.61314,0.16989,0.68287,0.28514
Exp1,replay,FC5,VAO,AO,VO,0.80133,0.07512,0.29785,0.11074,0.53509,0.50348
Exp1,replay,T7,VAO,AO,VO,0.79916,0.07889,0.32166,0.10097,0.44494,0.47750
Exp1,replay,C3,VAO,AO,VO,0.89406,0.06311,0.66958,0.11583,0.69325,0.22447
Exp1,replay,CP1,VAO,AO,VO,0.88135,0.07141,0.78123,0.15253,0.69095,0.10012
Exp1,replay,CP5,VAO,AO,VO,0.90060,0.08284,0.40599,0.09033,0.57657,0.49461
Exp1,replay,P7,VAO,AO,VO,0.58238,0.08326,0.41939,0.08702,0.37669,0.16300
Exp1,replay,P3,VAO,AO,VO,0.64975,0.08372,0.61023,0.11570,0.40926,0.03951
Exp1,replay,Pz,VAO,AO,VO,0.84582,0.06796,0.67391,0.11240,0.57366,0.17190
Exp1,replay,PO3,VAO,AO,VO,0.48089,0.09508,0.57384,0.11201,0.26640,-0.09295
Exp1,replay,O1,VAO,AO,VO,0.47142,0.07826,0.54079,0.08219,0.35605,-0.06937
Exp1,replay,Oz,VAO,AO,VO,0.40408,0.08813,0.59310,0.07490,0.40387,-0.18902
Exp1,replay,O2,VAO,AO,VO,0.32448,0.08797,0.55680,0.07541,0.28379,-0.23232
Exp1,replay,PO4,VAO,AO,VO,0.38630,0.09077,0.55012,0.09482,0.26998,-0.16381
Exp1,replay,P4,VAO,AO,VO,0.83558,0.11619,0.60698,0.12328,0.48391,0.22861
Exp1,replay,P8,VAO,AO,VO,0.62396,0.10673,0.40287,0.07052,0.39810,0.22108
Exp1,replay,CP6,VAO,AO,VO,0.87175,0.08848,0.47927,0.10466,0.56344,0.39248
Exp1,replay,CP2,VAO,AO,VO,0.93921,0.06192,0.75151,0.14853,0.67968,0.18770
Exp1,replay,C4,VAO,AO,VO,0.94186,0.06308,0.70773,0.13449,0.67213,0.23413
Exp1,replay,T8,VAO,AO,VO,0.65830,0.08445,0.35544,0.06495,0.43444,0.30286
Exp1,replay,FC6,VAO,AO,VO,0.71542,0.04036,0.36588,0.11956,0.42345,0.34954
Exp1,replay,FC2,VAO,AO,VO,0.91081,0.07430,0.61312,0.16937,0.66461,0.29770
Exp1,replay,F4,VAO,AO,VO,0.72975,0.07153,0.43820,0.15997,0.48551,0.29155
Exp1,replay,F8,VAO,AO,VO,0.44838,0.10896,0.33569,0.10742,0.30838,0.11269
Exp1,replay,AF4,VAO,AO,VO,0.62463,0.09170,0.38684,0.10727,0.40958,0.23779
Exp1,replay,Fp2,VAO,AO,VO,0.51904,0.08376,0.27632,0.10695,0.43917,0.24272
Exp1,replay,Fz,VAO,AO,VO,0.82888,0.06610,0.48091,0.16271,0.58626,0.34797
Exp1,replay,Cz,VAO,AO,VO,0.95568,0.06568,0.74077,0.15507,0.72889,0.21491
