experiment,model,channel,target_label,audio_label,visual_label,a_audio,a_sem,b_visual,b_sem,R2,audio_minus_visual
Exp1,self,Fp1,MVA,MA,MV,0.59700,0.12703,0.40685,0.17431,0.43644,0.19016
Exp1,self,AF3,MVA,MA,MV,0.64137,0.08323,0.42022,0.11613,0.52074,0.22115
Exp1,self,F7,MVA,MA,MV,0.49417,0.10226,0.50703,0.09079,0.47832,-0.01286
Exp1,self,F3,MVA,MA,MV,0.69790,0.07251,0.52636,0.08458,0.58370,0.17154
Exp1,self,FC1,MVA,MA,MV,0.74794,0.07438,0.50633,0.09229,0.64111,0.24161
Exp1,self,FC5,MVA,MA,MV,0.65221,0.07399,0.60478,0.10702,0.59924,0.04742
Exp1,self,T7,MVA,MA,MV,0.53014,0.07685,0.47404,0.09601,0.49888,0.05610
Exp1,self,C3,MVA,MA,MV,0.84579,0.08912,0.52417,0.09504,0.66372,0.32162
Exp1,self,CP1,MVA,MA,MV,0.78815,0.09868,0.52242,0.11573,0.64792,0.26573
Exp1,self,CP5,MVA,MA,MV,0.58816,0.09044,0.38623,0.09199,0.52115,0.20193
Exp1,self,P7,MVA,MA,MV,0.36407,0.10054,0.45364,0.09083,0.44750,-0.08957
Exp1,self,P3,MVA,MA,MV,0.49556,0.10036,0.56252,0.08954,0.47562,-0.06695
Exp1,self,Pz,MVA,MA,MV,0.54377,0.11864,0.57419,0.09340,0.58005,-0.03042
Exp1,self,PO3,MVA,MA,MV,0.40535,0.12197,0.57984,0.07039,0.48372,-0.17449
Exp1,self,O1,MVA,MA,MV,0.24891,0.05811,0.56111,0.08769,0.43806,-0.31219
Exp1,self,Oz,MVA,MA,MV,0.31957,0.06112,0.54465,0.07593,0.42443,-0.22508
Exp1,self,O2,MVA,MA,MV,0.43291,0.06764,0.49771,0.06081,0.44611,-0.06481
Exp1,self,PO4,MVA,MA,MV,0.32353,0.06779,0.55201,0.06437,0.45387,-0.22849
Exp1,self,P4,MVA,MA,MV,0.50919,0.08896,0.55296,0.09365,0.51870,-0.04377
Exp1,self,P8,MVA,MA,MV,0.41724,0.09762,0.51959,0.08689,0.45996,-0.10235
Exp1,self,CP6,MVA,MA,MV,0.57433,0.08283,0.44699,0.07334,0.46713,0.12734
Exp1,self,CP2,MVA,MA,MV,0.74553,0.08242,0.51108,0.09324,0.57817,0.23445
Exp1,self,C4,MVA,MA,MV,0.76517,0.08679,0.43475,0.08489,0.56993,0.33042
Exp1,self,T8,MVA,MA,MV,0.44877,0.05454,0.40716,0.06563,0.35781,0.04160
Exp1,self,FC6,MVA,MA,MV,0.53979,0.06876,0.51939,0.07494,0.52448,0.02040
Exp1,self,FC2,MVA,MA,MV,0.75017,0.09184,0.40298,0.10700,0.60511,0.34719
Exp1,self,F4,MVA,MA,MV,0.64690,0.08464,0.39308,0.08012,0.48327,0.25382
Exp1,self,F8,MVA,MA,MV,0.59620,0.11009,0.34712,0.11116,0.36725,0.24908
Exp1,self,AF4,MVA,MA,MV,0.60373,0.10118,0.32357,0.12252,0.51174,0.28016
Exp1,self,Fp2,MVA,MA,MV,0.55541,0.11855,0.39084,0.14703,0.48059,0.16457
Exp1,self,Fz,MVA,MA,MV,0.67923,0.08744,0.34797,0.08680,0.55190,0.33126
Exp1,self,Cz,MVA,MA,MV,0.80367,0.08032,0.52919,0.11090,0.63533,0.27447
