experiment,channel,a_audio,a_sem,b_visual,b_sem,R2,audio_minus_visual
Exp2,Fp1,0.66709,0.08984,0.36146,0.11182,0.52386,0.30563
Exp2,AF3,0.82178,0.06327,0.32505,0.08068,0.55793,0.49673
Exp2,F7,0.64608,0.08465,0.22943,0.10462,0.33596,0.41665
Exp2,F3,0.87265,0.05979,0.41311,0.07109,0.58828,0.45953
Exp2,FC1,0.97803,0.04873,0.45631,0.09198,0.73897,0.52172
Exp2,FC5,0.80803,0.05698,0.17015,0.09036,0.48427,0.63788
Exp2,T7,0.69547,0.04937,0.30980,0.09129,0.44185,0.38567
Exp2,C3,0.88884,0.06527,0.55587,0.09959,0.69877,0.33298
Exp2,CP1,0.87492,0.06979,0.83128,0.09795,0.72988,0.04364
Exp2,CP5,0.70754,0.06099,0.78473,0.06343,0.66170,-0.07719
Exp2,P7,0.75756,0.05452,0.81028,0.05817,0.68590,-0.05273
Exp2,P3,0.71929,0.11647,0.85507,0.06020,0.71927,-0.13578
Exp2,Pz,0.82859,0.09343,0.84822,0.09042,0.67220,-0.01963
Exp2,PO3,0.56346,0.09581,0.91493,0.04789,0.69141,-0.35147
Exp2,O1,0.63702,0.07383,0.84079,0.04704,0.71228,-0.20377
Exp2,Oz,0.66686,0.08626,0.87255,0.04193,0.73420,-0.20569
Exp2,O2,0.68044,0.08258,0.94363,0.05803,0.73864,-0.26319
Exp2,PO4,0.57733,0.10372,0.90233,0.07527,0.67169,-0.32500
Exp2,P4,0.74856,0.09667,0.92193,0.09497,0.73480,-0.17337
Exp2,P8,0.75284,0.09196,0.91278,0.05520,0.75345,-0.15994
Exp2,CP6,0.78142,0.09579,0.79596,0.08914,0.73391,-0.01454
Exp2,CP2,0.86330,0.06897,0.88511,0.10335,0.72064,-0.02181
Exp2,C4,0.83715,0.06607,0.75692,0.09909,0.67515,0.08023
Exp2,T8,0.72246,0.05718,0.58882,0.09301,0.57611,0.13363
Exp2,FC6,0.74050,0.06389,0.50396,0.08290,0.51954,0.23655
Exp2,FC2,0.97463,0.04184,0.54235,0.08565,0.72162,0.43228
Exp2,F4,0.85832,0.05169,0.45166,0.07340,0.58946,0.40666
Exp2,F8,0.44987,0.06819,0.46803,0.07041,0.33139,-0.01817
Exp2,AF4,0.77623,0.05181,0.42160,0.10451,0.57403,0.35462
Exp2,Fp2,0.66915,0.09092,0.31176,0.11846,0.52879,0.35739
Exp2,Fz,0.94009,0.03859,0.44808,0.07018,0.67419,0.49201
Exp2,Cz,0.99856,0.05719,0.57038,0.11308,0.77306,0.42818
